,on_num,off_num
0,20.0,775.0
1,20.0,774.0
2,25.0,764.0
3,31.0,752.0
4,34.0,748.0
5,42.0,745.0
6,41.0,751.0
7,46.0,733.0
8,48.0,734.0
9,58.0,740.0
10,59.0,737.0
11,61.0,737.0
12,60.0,732.0
13,69.0,732.0
14,69.0,728.0
15,71.0,728.0
16,84.0,725.0
17,83.0,725.0
18,90.0,719.0
19,89.0,721.0
20,88.0,721.0
21,92.0,714.0
22,88.0,712.0
23,91.0,710.0
24,88.0,705.0
25,90.0,701.0
26,98.0,691.0
27,97.0,689.0
28,100.0,689.0
29,106.0,688.0
30,104.0,684.0
31,103.0,691.0
32,104.0,684.0
33,105.0,682.0
34,109.0,688.0
35,117.0,682.0
36,117.0,682.0
37,125.0,679.0
38,127.0,678.0
39,127.0,683.0
40,126.0,680.0
41,125.0,678.0
42,133.0,679.0
43,135.0,673.0
44,136.0,670.0
45,145.0,667.0
46,157.0,674.0
47,151.0,672.0
48,156.0,672.0
49,153.0,667.0
50,153.0,664.0
51,153.0,660.0
52,159.0,653.0
53,164.0,662.0
54,158.0,666.0
55,151.0,660.0
56,159.0,664.0
57,153.0,662.0
58,148.0,663.0
59,157.0,658.0
60,160.0,653.0
61,157.0,656.0
62,157.0,649.0
63,162.0,652.0
64,157.0,645.0
65,165.0,650.0
66,163.0,647.0
67,174.0,654.0
68,177.0,653.0
69,172.0,644.0
70,174.0,639.0
71,181.0,637.0
72,181.0,638.0
73,183.0,634.0
74,183.0,634.0
75,185.0,640.0
76,187.0,635.0
77,184.0,635.0
78,186.0,635.0
79,184.0,634.0
80,184.0,629.0
81,188.0,630.0
82,193.0,635.0
83,196.0,634.0
84,202.0,627.0
85,201.0,624.0
86,200.0,624.0
87,198.0,617.0
88,192.0,615.0
89,201.0,619.0
90,194.0,606.0
91,196.0,606.0
92,196.0,614.0
93,194.0,611.0
94,200.0,613.0
95,198.0,612.0
96,199.0,614.0
97,195.0,614.0
98,198.0,608.0
99,201.0,607.0
100,208.0,602.0
101,209.0,600.0
102,206.0,601.0
103,204.0,602.0
104,211.0,600.0
105,213.0,601.0
106,211.0,597.0
107,209.0,593.0
108,212.0,600.0
109,210.0,600.0
110,217.0,602.0
111,215.0,600.0
112,213.0,597.0
113,214.0,606.0
114,212.0,599.0
115,213.0,600.0
116,213.0,597.0
117,211.0,596.0
118,213.0,596.0
119,215.0,595.0
120,216.0,589.0
121,222.0,589.0
122,228.0,587.0
123,232.0,588.0
124,230.0,582.0
125,226.0,581.0
126,221.0,577.0
127,228.0,582.0
128,230.0,576.0
129,234.0,579.0
130,234.0,571.0
131,233.0,576.0
132,232.0,579.0
133,232.0,575.0
134,226.0,575.0
135,231.0,571.0
136,235.0,575.0
137,228.0,576.0
138,220.0,573.0
139,219.0,572.0
140,220.0,575.0
141,224.0,576.0
142,229.0,579.0
143,225.0,572.0
144,241.0,571.0
145,241.0,569.0
146,238.0,570.0
147,239.0,570.0
148,236.0,574.0
149,242.0,578.0
150,237.0,577.0
151,239.0,577.0
152,233.0,578.0
153,229.0,578.0
154,228.0,579.0
155,230.0,585.0
156,237.0,580.0
157,239.0,574.0
158,237.0,578.0
159,238.0,571.0
160,240.0,567.0
161,246.0,573.0
162,248.0,559.0
163,239.0,562.0
164,238.0,565.0
165,245.0,566.0
166,245.0,562.0
167,245.0,562.0
168,250.0,561.0
169,249.0,557.0
170,249.0,559.0
171,255.0,558.0
172,252.0,561.0
173,253.0,554.0
174,258.0,552.0
175,258.0,554.0
176,252.0,546.0
177,258.0,545.0
178,253.0,542.0
179,258.0,539.0
180,266.0,541.0
181,256.0,541.0
182,256.0,538.0
183,261.0,533.0
184,265.0,534.0
185,265.0,530.0
186,269.0,535.0
187,274.0,541.0
188,270.0,539.0
189,277.0,536.0
