,frap_region
0,[812   0]
1,[794  17]
2,[785  26]
3,[776  29]
4,[770  33]
5,[771  35]
6,[770  39]
7,[769  37]
8,[773  48]
9,[769  41]
10,[769  50]
11,[758  45]
12,[753  50]
13,[746  48]
14,[752  59]
15,[753  56]
16,[750  62]
17,[751  66]
18,[747  65]
19,[738  63]
20,[743  73]
21,[745  78]
22,[735  76]
23,[735  77]
24,[736  85]
25,[730  77]
26,[736  78]
27,[730  82]
28,[724  87]
29,[724  83]
30,[718  89]
31,[720  90]
32,[721  95]
33,[711  94]
34,[714  86]
35,[716  96]
36,[707  95]
37,[713  89]
38,[712  87]
39,[711  98]
40,[711 104]
41,[716 106]
42,[717 113]
43,[708 110]
44,[710 107]
45,[706 103]
46,[703 103]
47,[705 106]
48,[704 107]
49,[702 111]
50,[706 113]
51,[704 118]
52,[699 126]
53,[693 119]
54,[701 131]
55,[705 128]
56,[708 129]
57,[705 136]
58,[701 139]
59,[701 137]
60,[704 143]
61,[696 140]
62,[701 139]
63,[704 142]
64,[694 145]
65,[693 144]
66,[693 142]
67,[696 141]
68,[694 142]
69,[689 137]
70,[692 141]
71,[688 138]
72,[691 140]
73,[682 136]
74,[684 134]
75,[682 140]
76,[686 144]
77,[679 144]
78,[680 135]
79,[679 136]
80,[677 142]
81,[672 145]
82,[675 143]
83,[672 142]
84,[669 146]
85,[674 146]
86,[676 143]
87,[677 136]
88,[670 140]
89,[678 147]
90,[676 143]
91,[677 147]
92,[674 142]
93,[673 142]
94,[670 142]
95,[672 147]
96,[671 150]
97,[666 147]
98,[665 146]
99,[660 152]
100,[666 153]
101,[665 153]
102,[667 158]
103,[664 151]
104,[661 162]
105,[666 152]
106,[666 156]
107,[659 156]
108,[668 161]
109,[666 167]
110,[666 165]
111,[660 169]
112,[655 165]
113,[653 177]
114,[649 168]
115,[658 172]
116,[651 179]
117,[645 177]
118,[650 180]
119,[645 178]
120,[650 181]
121,[648 184]
122,[646 185]
123,[649 185]
124,[649 186]
125,[652 174]
126,[651 174]
127,[645 173]
128,[648 175]
129,[644 178]
130,[648 177]
131,[650 184]
132,[646 183]
133,[644 182]
134,[647 185]
135,[644 177]
136,[644 175]
137,[642 172]
138,[636 183]
139,[633 180]
140,[636 178]
141,[639 180]
142,[639 183]
143,[641 184]
144,[639 180]
145,[639 182]
146,[634 176]
147,[631 180]
148,[636 187]
149,[633 188]
150,[634 183]
151,[631 192]
152,[636 192]
153,[644 194]
154,[633 191]
155,[629 192]
156,[636 200]
157,[636 194]
158,[632 190]
159,[624 198]
160,[628 195]
161,[623 192]
162,[623 194]
163,[627 201]
164,[628 198]
165,[626 197]
166,[624 191]
167,[625 187]
168,[626 185]
169,[617 188]
170,[618 192]
171,[621 192]
172,[622 192]
173,[621 195]
174,[617 190]
175,[620 188]
176,[613 193]
177,[615 200]
178,[618 197]
179,[618 198]
180,[620 201]
181,[619 204]
182,[620 203]
183,[617 207]
184,[615 213]
185,[612 210]
186,[617 211]
187,[616 213]
188,[616 222]
189,[621 225]
190,[627 214]
191,[621 211]
192,[623 214]
193,[620 218]
194,[624 219]
195,[624 218]
196,[621 221]
197,[620 219]
198,[620 219]
199,[625 220]
200,[621 218]
201,[620 221]
202,[624 222]
203,[624 224]
204,[625 222]
205,[623 225]
206,[620 228]
207,[618 230]
208,[615 228]
209,[619 229]
210,[618 232]
211,[619 233]
212,[615 232]
213,[612 234]
214,[614 237]
215,[613 245]
216,[612 236]
217,[609 239]
218,[613 239]
219,[615 237]
220,[613 240]
221,[613 240]
222,[608 246]
223,[614 243]
224,[614 239]
225,[610 241]
226,[617 233]
227,[614 233]
228,[618 226]
229,[621 231]
230,[617 229]
231,[614 228]
232,[613 232]
233,[608 228]
234,[612 236]
235,[603 239]
236,[606 242]
237,[602 240]
238,[604 230]
239,[603 232]
240,[600 237]
241,[599 239]
242,[598 246]
243,[595 239]
244,[589 240]
245,[590 240]
246,[593 240]
247,[593 236]
248,[592 237]
249,[588 236]
250,[596 232]
251,[599 233]
252,[598 224]
253,[594 234]
254,[592 232]
255,[591 233]
256,[589 227]
257,[593 236]
258,[588 236]
259,[589 238]
260,[591 238]
261,[585 238]
262,[584 234]
263,[585 229]
264,[587 224]
265,[586 229]
266,[585 234]
267,[589 228]
268,[585 230]
269,[586 232]
270,[582 234]
271,[581 235]
272,[582 234]
273,[581 231]
274,[578 234]
275,[579 234]
276,[577 240]
277,[583 232]
278,[577 228]
279,[576 230]
280,[579 239]
281,[575 242]
282,[573 246]
283,[576 246]
284,[573 246]
285,[576 248]
286,[572 247]
287,[570 244]
288,[565 240]
289,[565 240]
290,[566 243]
291,[564 237]
292,[570 242]
293,[572 245]
294,[570 243]
295,[566 249]
296,[570 243]
297,[572 246]
298,[575 246]
299,[575 250]
300,[576 250]
301,[565 250]
302,[566 260]
303,[565 260]
304,[569 254]
305,[566 254]
306,[563 258]
307,[569 253]
308,[564 264]
309,[566 258]
310,[565 252]
311,[561 259]
312,[561 251]
313,[567 252]
314,[564 259]
315,[561 252]
316,[568 254]
317,[567 253]
318,[568 260]
319,[566 255]
320,[565 257]
321,[564 259]
322,[564 262]
323,[564 257]
324,[560 256]
325,[556 259]
326,[560 258]
327,[556 259]
328,[553 257]
329,[556 259]
330,[551 257]
331,[555 262]
332,[553 257]
333,[551 255]
334,[550 254]
335,[546 250]
