,frap_region
0,[849   0]
1,[832  16]
2,[827  21]
3,[817  28]
4,[812  30]
5,[808  28]
6,[807  26]
7,[805  35]
8,[809  37]
9,[802  37]
10,[804  44]
11,[803  41]
12,[798  56]
13,[798  52]
14,[792  54]
15,[789  53]
16,[794  50]
17,[786  53]
18,[781  64]
19,[775  62]
20,[774  65]
21,[771  63]
22,[771  65]
23,[771  72]
24,[766  70]
25,[774  74]
26,[767  71]
27,[766  71]
28,[767  71]
29,[770  76]
30,[767  75]
31,[764  73]
32,[769  79]
33,[769  81]
34,[765  87]
35,[765  82]
36,[757  90]
37,[753  82]
38,[753  81]
39,[752  79]
40,[751  80]
41,[752  85]
42,[752  90]
43,[751  91]
44,[748  95]
45,[749 100]
46,[744  99]
47,[744  94]
48,[744  92]
49,[742  95]
50,[741  95]
51,[735  92]
52,[738  98]
53,[738  96]
54,[743  98]
55,[740  95]
56,[742  96]
57,[735  96]
58,[740 102]
59,[733  99]
60,[731 101]
61,[733 100]
62,[730 101]
63,[720 110]
64,[721 101]
65,[721 102]
66,[718 102]
67,[725 109]
68,[721 103]
69,[722 104]
70,[719 106]
71,[719 102]
72,[724 108]
73,[722 110]
74,[720 114]
75,[714 114]
76,[715 107]
77,[715 108]
78,[705 113]
79,[709 123]
80,[711 125]
81,[705 122]
82,[702 125]
83,[701 119]
84,[702 123]
85,[702 121]
86,[702 119]
87,[699 115]
88,[693 114]
89,[696 122]
90,[696 129]
91,[700 120]
92,[697 124]
93,[701 120]
94,[702 121]
95,[699 126]
96,[696 129]
97,[696 120]
98,[696 128]
99,[692 127]
100,[690 133]
101,[686 133]
102,[689 134]
103,[689 134]
104,[693 139]
105,[686 138]
106,[687 138]
107,[688 142]
108,[689 146]
109,[686 153]
110,[687 145]
111,[691 146]
112,[690 143]
113,[687 149]
114,[689 145]
115,[689 146]
116,[685 155]
117,[686 148]
118,[687 154]
119,[683 157]
120,[680 154]
121,[683 151]
122,[680 153]
123,[684 156]
124,[679 160]
125,[681 162]
126,[685 156]
127,[683 155]
128,[685 168]
129,[686 161]
130,[685 164]
131,[693 160]
132,[692 163]
133,[688 173]
134,[685 171]
135,[681 166]
136,[679 168]
137,[673 168]
138,[680 165]
139,[676 164]
140,[668 170]
141,[669 169]
142,[674 166]
143,[672 166]
144,[679 167]
145,[671 160]
146,[669 169]
147,[664 170]
148,[666 177]
149,[672 178]
150,[672 178]
151,[668 183]
152,[670 185]
153,[670 183]
