,frap_region
0,[861   0]
1,[842  15]
2,[833  22]
3,[829  26]
4,[827  33]
5,[825  31]
6,[823  35]
7,[817  38]
8,[810  45]
9,[813  47]
10,[806  46]
11,[808  47]
12,[802  46]
13,[796  48]
14,[791  54]
15,[795  58]
16,[793  52]
17,[782  52]
18,[782  55]
19,[781  59]
20,[784  58]
21,[785  61]
22,[784  63]
23,[784  66]
24,[780  70]
25,[776  70]
26,[774  73]
27,[772  79]
28,[773  75]
29,[777  80]
30,[775  85]
31,[776  85]
32,[769  90]
33,[768  88]
34,[767  87]
35,[771  89]
36,[771  85]
37,[766  89]
38,[768  87]
39,[767  88]
40,[770  91]
41,[764  89]
42,[765  92]
43,[758  98]
44,[755  96]
45,[752  94]
46,[750  91]
47,[746  90]
48,[742  91]
49,[746 100]
50,[746 103]
51,[738 101]
52,[740 104]
53,[744 111]
54,[743 109]
55,[738 104]
56,[741 103]
57,[740 106]
58,[737 115]
59,[735 112]
60,[738 108]
61,[735 112]
62,[734 119]
63,[728 114]
64,[730 110]
65,[735 102]
66,[729 109]
67,[734 115]
68,[734 122]
69,[730 124]
70,[728 127]
71,[731 134]
72,[735 123]
73,[731 125]
74,[735 127]
75,[729 129]
76,[725 129]
77,[727 127]
78,[722 128]
79,[725 130]
80,[727 130]
81,[723 130]
82,[726 129]
83,[727 129]
84,[724 131]
85,[724 126]
86,[727 128]
87,[724 129]
88,[722 133]
89,[720 134]
90,[715 136]
91,[715 135]
92,[716 135]
93,[714 138]
94,[713 137]
95,[711 136]
96,[709 143]
97,[704 135]
98,[715 138]
99,[708 139]
100,[709 142]
101,[711 137]
102,[715 141]
103,[714 151]
104,[709 140]
105,[706 140]
106,[705 142]
107,[707 142]
108,[704 139]
109,[703 146]
110,[704 146]
111,[699 146]
112,[701 154]
113,[701 156]
114,[699 151]
115,[703 148]
116,[692 149]
117,[695 152]
118,[693 154]
119,[694 156]
120,[692 165]
121,[698 165]
122,[695 164]
123,[693 171]
124,[690 170]
125,[693 173]
126,[690 166]
127,[690 163]
128,[688 158]
129,[689 154]
130,[692 155]
131,[686 164]
132,[686 162]
133,[688 164]
134,[691 163]
135,[692 166]
136,[689 166]
137,[693 163]
138,[693 166]
139,[688 166]
140,[686 167]
141,[690 178]
142,[683 173]
143,[684 172]
144,[683 163]
145,[684 169]
146,[687 168]
147,[684 169]
148,[685 169]
149,[680 179]
