,frap_region
0,[831   0]
1,[815  23]
2,[806  32]
3,[797  29]
4,[799  42]
5,[797  51]
6,[794  54]
7,[787  57]
8,[791  61]
9,[789  65]
10,[785  60]
11,[782  62]
12,[772  66]
13,[768  72]
14,[772  68]
15,[765  73]
16,[766  72]
17,[765  82]
18,[764  86]
19,[760  91]
20,[759  87]
21,[759  97]
22,[760  98]
23,[766  93]
24,[762  97]
25,[764 100]
26,[765  93]
27,[762  90]
28,[747  96]
29,[748  94]
30,[747  97]
31,[754  96]
32,[747  99]
33,[745  95]
34,[746  97]
35,[741 104]
36,[740 107]
37,[740 114]
38,[736 117]
39,[739 116]
40,[741 114]
41,[736 122]
42,[737 121]
43,[738 125]
44,[732 123]
45,[730 125]
46,[730 119]
47,[729 118]
48,[731 127]
49,[727 122]
50,[729 121]
51,[722 123]
52,[725 124]
53,[722 131]
54,[722 131]
55,[722 134]
56,[723 132]
57,[720 130]
58,[724 124]
59,[722 131]
60,[716 132]
61,[718 136]
62,[720 132]
63,[720 132]
64,[721 137]
65,[726 128]
66,[725 127]
67,[723 124]
68,[726 120]
69,[725 127]
70,[725 123]
71,[725 129]
72,[725 135]
73,[726 135]
74,[719 137]
75,[721 139]
76,[718 138]
77,[715 140]
78,[717 142]
79,[718 145]
80,[719 146]
81,[717 144]
82,[713 153]
83,[715 155]
84,[711 152]
85,[712 151]
86,[713 155]
87,[716 151]
88,[709 149]
89,[709 148]
90,[710 154]
91,[705 157]
92,[706 152]
93,[706 153]
94,[699 155]
95,[696 162]
96,[699 160]
97,[697 154]
98,[695 160]
99,[698 154]
100,[690 156]
101,[694 156]
102,[695 158]
103,[688 158]
104,[690 161]
105,[694 162]
106,[689 159]
107,[680 159]
108,[690 166]
109,[680 164]
110,[682 165]
111,[676 160]
112,[684 162]
113,[678 163]
114,[680 163]
115,[683 167]
116,[683 163]
117,[684 162]
118,[687 159]
119,[681 166]
120,[677 172]
121,[676 175]
122,[668 169]
123,[667 169]
124,[666 168]
125,[670 168]
126,[674 172]
127,[665 174]
128,[666 170]
129,[662 177]
130,[663 174]
131,[666 172]
132,[665 174]
133,[666 182]
134,[666 182]
135,[668 179]
136,[661 181]
137,[663 172]
138,[664 176]
139,[657 180]
140,[656 180]
141,[658 188]
142,[656 181]
143,[651 176]
144,[654 180]
145,[652 180]
146,[654 173]
147,[652 173]
148,[658 172]
149,[657 174]
150,[649 173]
151,[656 175]
152,[659 176]
153,[654 177]
154,[662 177]
155,[656 173]
156,[657 175]
157,[656 180]
158,[657 178]
159,[660 180]
160,[654 175]
161,[654 184]
162,[657 183]
163,[658 187]
164,[658 189]
165,[658 186]
166,[661 188]
167,[651 185]
168,[649 186]
169,[650 186]
170,[653 183]
171,[657 188]
172,[658 188]
173,[665 187]
174,[665 188]
175,[658 190]
176,[651 190]
177,[647 188]
178,[655 188]
179,[661 184]
180,[662 195]
181,[653 191]
182,[653 192]
183,[652 194]
184,[652 198]
185,[647 204]
186,[644 201]
187,[645 199]
188,[643 189]
189,[637 191]
190,[637 200]
191,[640 204]
192,[632 199]
193,[635 200]
194,[636 201]
195,[641 205]
196,[642 200]
197,[644 212]
198,[646 201]
199,[641 207]
200,[638 203]
201,[640 210]
202,[642 211]
203,[642 204]
204,[640 202]
205,[641 202]
206,[642 201]
207,[639 201]
208,[641 210]
209,[642 210]
210,[642 210]
211,[635 212]
212,[638 212]
213,[639 215]
214,[633 219]
215,[633 211]
216,[631 211]
217,[631 211]
218,[634 207]
219,[641 209]
220,[638 210]
221,[634 207]
222,[629 197]
223,[634 204]
224,[631 206]
225,[631 203]
226,[630 206]
227,[629 211]
228,[629 212]
229,[630 211]
230,[631 215]
231,[628 220]
232,[631 220]
233,[622 227]
234,[622 220]
235,[625 222]
236,[629 221]
237,[626 228]
238,[626 218]
239,[625 228]
240,[624 232]
241,[617 233]
242,[619 233]
243,[617 238]
244,[614 235]
245,[607 227]
246,[606 225]
247,[609 225]
248,[613 226]
249,[610 225]
250,[616 224]
251,[611 227]
252,[611 225]
253,[618 229]
254,[611 226]
255,[608 225]
256,[613 224]
257,[609 213]
258,[610 214]
259,[608 220]
260,[606 221]
261,[607 216]
262,[604 213]
263,[601 221]
264,[605 215]
265,[598 216]
266,[595 224]
267,[596 219]
268,[591 220]
269,[587 228]
270,[588 221]
271,[590 228]
272,[589 217]
273,[593 218]
274,[590 221]
275,[593 222]
276,[583 232]
277,[587 229]
278,[591 231]
279,[592 230]
280,[585 235]
281,[588 231]
282,[584 235]
283,[587 234]
284,[589 238]
285,[593 234]
286,[584 243]
287,[589 242]
288,[590 251]
289,[593 253]
290,[591 260]
291,[593 249]
292,[590 251]
293,[586 247]
294,[580 249]
295,[586 256]
296,[588 245]
297,[585 247]
298,[585 250]
299,[591 253]
300,[586 246]
301,[588 251]
302,[585 244]
303,[586 248]
304,[582 246]
305,[582 242]
306,[581 243]
307,[584 237]
308,[584 243]
309,[588 248]
310,[574 243]
311,[574 238]
312,[573 251]
313,[575 250]
314,[575 246]
315,[589 256]
316,[589 252]
317,[584 258]
318,[590 268]
319,[583 264]
320,[586 262]
321,[582 257]
322,[580 258]
323,[585 260]
324,[585 255]
325,[583 258]
326,[584 263]
327,[579 270]
328,[578 264]
329,[575 265]
330,[578 266]
331,[573 261]
332,[577 258]
333,[574 260]
334,[574 255]
335,[573 261]
336,[571 260]
337,[578 261]
338,[576 254]
339,[573 260]
340,[569 261]
341,[572 256]
342,[568 252]
343,[565 258]
344,[561 257]
345,[562 257]
346,[564 256]
347,[560 259]
348,[555 255]
349,[561 268]
350,[559 271]
351,[554 264]
352,[559 269]
353,[560 266]
354,[553 265]
355,[561 261]
356,[561 263]
357,[564 261]
358,[558 258]
359,[556 262]
360,[556 257]
361,[556 258]
362,[553 255]
363,[555 257]
364,[560 269]
365,[554 264]
366,[546 272]
367,[552 272]
368,[550 274]
369,[550 276]
370,[548 277]
371,[547 274]
372,[552 273]
373,[551 276]
374,[550 276]
375,[555 278]
376,[553 276]
377,[548 276]
378,[550 276]
379,[548 281]
380,[548 277]
381,[547 286]
382,[546 277]
383,[545 276]
384,[548 282]
385,[546 280]
386,[548 283]
387,[551 285]
388,[547 283]
389,[550 285]
390,[549 287]
391,[545 293]
392,[548 288]
393,[547 283]
394,[543 285]
395,[548 284]
396,[544 272]
397,[546 274]
398,[549 277]
399,[547 285]
400,[546 280]
401,[544 289]
402,[541 295]
403,[538 294]
404,[540 300]
405,[538 301]
406,[540 297]
407,[542 300]
408,[539 308]
409,[535 297]
410,[531 293]
411,[529 297]
412,[533 294]
413,[527 300]
414,[531 300]
415,[529 301]
416,[528 302]
417,[525 309]
418,[525 312]
419,[523 305]
420,[529 301]
421,[529 305]
422,[528 297]
423,[530 297]
424,[530 292]
425,[528 299]
426,[528 300]
427,[535 299]
428,[528 309]
429,[528 302]
430,[528 302]
431,[526 310]
432,[529 302]
433,[528 309]
434,[525 314]
435,[524 317]
436,[525 324]
437,[529 324]
438,[524 320]
439,[520 323]
440,[529 319]
441,[532 313]
442,[530 308]
443,[531 312]
444,[527 317]
445,[527 310]
446,[526 314]
447,[526 320]
448,[527 313]
449,[529 316]
450,[525 313]
451,[526 318]
452,[528 321]
453,[528 327]
454,[526 320]
455,[526 325]
456,[522 331]
457,[523 326]
458,[524 328]
459,[522 328]
460,[524 328]
461,[520 327]
462,[520 326]
463,[525 324]
464,[522 322]
465,[520 331]
466,[517 334]
467,[520 335]
468,[521 339]
469,[518 339]
470,[520 344]
471,[518 345]
472,[514 348]
473,[524 341]
474,[516 341]
475,[518 340]
476,[522 334]
477,[523 342]
478,[522 335]
479,[521 329]
480,[522 330]
481,[522 326]
482,[521 331]
483,[520 333]
484,[519 324]
485,[517 338]
486,[515 330]
487,[509 334]
488,[519 332]
489,[518 335]
490,[514 336]
491,[514 339]
492,[518 338]
493,[517 342]
494,[520 344]
495,[521 342]
496,[518 346]
497,[521 345]
498,[516 342]
499,[510 344]
500,[516 341]
501,[513 344]
502,[514 350]
503,[514 342]
504,[520 341]
505,[513 343]
506,[509 340]
507,[510 342]
508,[506 347]
509,[509 344]
510,[509 349]
511,[510 353]
512,[512 357]
513,[513 356]
514,[513 360]
515,[512 356]
516,[507 348]
517,[506 343]
518,[511 342]
519,[513 344]
520,[506 345]
521,[516 334]
522,[510 340]
523,[507 346]
524,[506 352]
525,[508 356]
526,[507 356]
527,[503 349]
528,[505 344]
529,[505 343]
530,[502 344]
531,[497 351]
532,[496 345]
533,[499 346]
534,[505 357]
535,[503 351]
536,[504 355]
537,[500 351]
538,[502 354]
539,[506 353]
540,[505 346]
541,[503 351]
542,[498 344]
543,[491 348]
544,[494 349]
545,[494 349]
546,[499 347]
547,[496 348]
548,[496 342]
549,[496 349]
550,[500 350]
551,[503 347]
552,[500 351]
553,[498 345]
554,[494 340]
555,[495 349]
556,[493 350]
557,[491 358]
558,[496 356]
559,[497 352]
560,[494 354]
561,[490 359]
562,[493 357]
563,[492 353]
564,[495 357]
565,[492 357]
566,[488 355]
567,[490 358]
568,[492 365]
569,[495 365]
570,[488 375]
571,[489 368]
572,[492 372]
573,[486 371]
574,[484 368]
575,[485 361]
576,[491 364]
577,[487 360]
578,[489 365]
579,[488 367]
580,[492 360]
581,[488 366]
582,[492 365]
583,[493 367]
584,[489 366]
585,[490 362]
586,[496 369]
587,[494 372]
588,[493 375]
589,[490 368]
590,[490 367]
591,[490 361]
592,[490 366]
593,[487 366]
594,[484 359]
595,[487 358]
596,[490 353]
597,[490 360]
598,[486 367]
599,[488 366]
600,[483 362]
601,[484 363]
602,[485 362]
603,[485 363]
604,[486 364]
