,frap_region
0,[839   0]
1,[821  12]
2,[814  14]
3,[808  25]
4,[808  28]
5,[800  33]
6,[800  27]
7,[799  36]
8,[793  41]
9,[789  41]
10,[793  44]
11,[794  44]
12,[782  45]
13,[785  41]
14,[785  44]
15,[778  48]
16,[781  54]
17,[777  58]
18,[779  60]
19,[778  67]
20,[773  69]
21,[772  69]
22,[774  62]
23,[768  69]
24,[771  72]
25,[755  76]
26,[751  80]
27,[751  76]
28,[753  74]
29,[750  75]
30,[755  72]
31,[748  77]
32,[749  79]
33,[752  79]
34,[746  81]
35,[746  85]
36,[742  81]
37,[731  83]
38,[732  83]
39,[731  86]
40,[735  85]
41,[733  79]
42,[738  76]
43,[741  84]
44,[738  84]
45,[737  95]
46,[737  88]
47,[734  87]
48,[730  93]
49,[725 103]
50,[728 104]
51,[729 102]
52,[728 105]
53,[732 106]
54,[724 107]
55,[726 106]
56,[722 107]
57,[723 106]
58,[722 113]
59,[721 112]
60,[723 123]
61,[722 125]
62,[726 131]
63,[722 122]
64,[721 116]
65,[722 115]
66,[719 124]
67,[720 123]
68,[723 126]
69,[725 134]
70,[726 132]
71,[728 120]
72,[723 121]
73,[725 120]
74,[725 117]
75,[720 123]
76,[716 122]
77,[719 131]
78,[717 132]
79,[716 129]
80,[718 127]
81,[715 133]
82,[715 140]
83,[706 138]
84,[701 128]
85,[705 138]
86,[704 136]
87,[704 135]
88,[703 134]
89,[702 139]
90,[708 141]
91,[703 143]
92,[701 147]
93,[699 149]
94,[702 147]
95,[696 151]
96,[704 151]
97,[700 153]
98,[701 154]
99,[704 152]
100,[706 156]
101,[701 154]
102,[700 156]
103,[698 161]
104,[694 162]
105,[694 159]
106,[695 164]
107,[696 167]
108,[700 166]
109,[700 164]
110,[702 155]
111,[703 158]
112,[697 161]
113,[694 164]
114,[692 159]
115,[693 161]
116,[694 157]
117,[697 167]
118,[691 162]
119,[693 165]
120,[690 169]
121,[693 168]
122,[694 174]
123,[693 169]
124,[694 171]
125,[696 168]
126,[690 166]
127,[687 167]
128,[691 162]
129,[687 170]
130,[689 168]
131,[693 168]
132,[694 167]
133,[693 166]
134,[692 170]
135,[689 176]
136,[685 174]
137,[683 177]
138,[686 175]
139,[682 171]
140,[680 168]
141,[674 172]
142,[682 167]
143,[682 166]
144,[683 172]
145,[687 171]
146,[686 174]
147,[688 173]
148,[681 169]
149,[685 173]
150,[681 178]
151,[683 184]
152,[681 179]
153,[681 181]
154,[678 186]
155,[676 185]
156,[679 188]
157,[680 184]
158,[680 183]
159,[680 182]
160,[673 186]
161,[670 180]
162,[667 173]
163,[672 183]
164,[669 195]
165,[669 195]
166,[667 196]
167,[669 195]
168,[663 198]
169,[667 202]
170,[667 210]
171,[671 203]
172,[667 199]
173,[662 204]
174,[661 207]
175,[659 198]
176,[652 205]
177,[656 196]
178,[655 201]
179,[655 194]
180,[655 193]
181,[648 197]
182,[647 196]
183,[648 197]
184,[648 199]
185,[644 192]
186,[653 201]
187,[645 198]
188,[646 205]
189,[642 207]
190,[643 204]
191,[649 208]
192,[648 201]
193,[646 203]
194,[644 194]
195,[648 204]
196,[644 205]
197,[641 206]
198,[638 203]
199,[634 208]
200,[642 206]
201,[642 205]
202,[634 208]
203,[636 204]
204,[636 204]
