,frap_region
0,[845   0]
1,[835  17]
2,[824  23]
3,[825  28]
4,[814  34]
5,[813  36]
6,[806  34]
7,[809  37]
8,[805  35]
9,[805  44]
10,[798  44]
11,[792  46]
12,[792  45]
13,[785  49]
14,[789  53]
15,[791  66]
16,[786  65]
17,[790  62]
18,[788  60]
19,[783  67]
20,[775  67]
21,[775  73]
22,[776  66]
23,[770  70]
24,[773  69]
25,[773  74]
26,[770  70]
27,[769  75]
28,[771  73]
29,[772  82]
30,[768  81]
31,[764  81]
32,[759  77]
33,[758  79]
34,[757  80]
35,[764  82]
36,[762  85]
37,[760  89]
38,[758  92]
39,[755  89]
40,[756  89]
41,[757  93]
42,[750 102]
43,[750  97]
44,[744 100]
45,[745 105]
46,[744 102]
47,[741 104]
48,[742 105]
49,[739 102]
50,[749 104]
51,[736 107]
52,[734 106]
53,[732 113]
54,[733 114]
55,[731 116]
56,[732 118]
57,[725 118]
58,[726 114]
59,[724 117]
60,[723 123]
61,[731 119]
62,[731 115]
63,[726 113]
64,[725 117]
65,[723 118]
66,[718 120]
67,[715 118]
68,[712 121]
69,[714 124]
70,[714 125]
71,[713 121]
72,[710 124]
73,[711 133]
74,[714 135]
75,[714 144]
76,[710 136]
77,[713 137]
78,[711 143]
79,[711 149]
80,[716 143]
81,[708 147]
82,[709 143]
83,[707 144]
84,[714 156]
85,[713 160]
86,[709 164]
87,[704 161]
88,[707 164]
89,[701 161]
90,[703 166]
91,[695 166]
92,[690 166]
93,[694 167]
94,[692 159]
95,[688 169]
96,[695 166]
97,[697 164]
98,[698 171]
99,[696 168]
100,[696 167]
101,[690 171]
102,[690 176]
103,[694 177]
104,[691 175]
105,[690 173]
106,[696 177]
107,[694 180]
108,[691 182]
109,[689 171]
110,[684 181]
111,[680 180]
112,[685 179]
113,[680 183]
114,[681 183]
115,[682 186]
116,[680 193]
117,[677 184]
118,[674 184]
119,[683 189]
120,[682 194]
121,[674 195]
122,[677 186]
123,[673 198]
124,[670 194]
125,[673 194]
126,[676 197]
127,[678 199]
128,[673 200]
129,[673 199]
130,[678 199]
131,[673 203]
132,[672 206]
133,[663 206]
134,[665 204]
135,[666 206]
136,[671 205]
137,[666 208]
138,[663 205]
139,[664 211]
140,[664 209]
141,[664 200]
142,[667 203]
143,[668 204]
144,[669 209]
145,[671 210]
146,[668 217]
147,[669 218]
148,[667 216]
149,[660 215]
150,[666 220]
151,[664 222]
152,[660 216]
153,[667 217]
154,[669 211]
155,[666 207]
156,[664 209]
157,[663 204]
158,[663 212]
159,[664 211]
160,[661 210]
161,[661 208]
162,[656 213]
163,[655 212]
164,[651 212]
165,[655 215]
166,[653 211]
167,[659 210]
168,[660 216]
169,[662 216]
170,[661 216]
171,[658 221]
172,[657 216]
173,[656 222]
174,[658 222]
175,[657 225]
176,[655 232]
177,[652 223]
178,[654 226]
179,[656 222]
180,[655 220]
181,[653 226]
182,[654 223]
183,[652 225]
184,[653 219]
185,[652 230]
186,[651 225]
187,[654 224]
188,[656 225]
189,[661 228]
190,[655 229]
191,[655 229]
192,[651 228]
193,[650 230]
194,[647 230]
195,[649 238]
196,[645 234]
197,[649 236]
198,[644 242]
199,[644 239]
200,[638 240]
201,[644 244]
202,[647 246]
203,[640 243]
204,[643 245]
205,[645 241]
206,[639 239]
207,[637 242]
208,[640 244]
209,[637 252]
210,[641 247]
211,[643 245]
212,[639 254]
213,[635 254]
214,[631 254]
215,[628 250]
216,[631 246]
217,[635 246]
218,[631 243]
219,[636 244]
220,[636 246]
221,[635 243]
222,[628 253]
223,[623 253]
224,[621 252]
225,[628 255]
226,[628 255]
227,[624 246]
228,[621 245]
229,[623 254]
230,[628 254]
231,[627 252]
232,[622 256]
233,[620 251]
234,[619 255]
235,[622 256]
236,[620 261]
237,[623 252]
238,[617 255]
239,[620 247]
240,[615 255]
241,[613 262]
242,[609 262]
243,[621 258]
244,[610 262]
245,[606 256]
246,[613 260]
247,[615 256]
248,[614 256]
249,[611 259]
250,[612 258]
251,[611 260]
252,[613 260]
253,[612 256]
254,[610 255]
255,[609 260]
256,[611 258]
257,[608 269]
258,[605 260]
259,[605 258]
260,[607 255]
261,[608 261]
262,[612 263]
263,[611 268]
264,[613 268]
265,[612 267]
266,[610 260]
267,[609 265]
268,[608 262]
269,[607 258]
270,[610 260]
271,[609 261]
272,[610 263]
273,[610 268]
274,[601 274]
275,[606 276]
276,[605 273]
277,[601 277]
278,[605 275]
279,[604 286]
280,[602 278]
281,[605 285]
282,[605 277]
283,[606 276]
284,[602 275]
285,[599 277]
286,[598 273]
287,[604 275]
288,[603 277]
289,[598 276]
290,[598 276]
291,[600 280]
292,[601 281]
293,[598 271]
294,[597 278]
295,[598 276]
296,[595 275]
297,[595 275]
298,[596 278]
299,[602 280]
300,[601 281]
301,[596 290]
302,[595 287]
303,[599 287]
304,[598 292]
305,[597 292]
306,[599 295]
307,[599 286]
308,[595 293]
309,[596 286]
310,[596 284]
311,[594 278]
312,[597 288]
313,[598 289]
314,[595 292]
