,frap_region
0,[868   0]
1,[849  14]
2,[847  16]
3,[839  16]
4,[834  21]
5,[827  21]
6,[830  25]
7,[826  29]
8,[823  32]
9,[817  31]
10,[815  38]
11,[815  44]
12,[815  48]
13,[806  46]
14,[798  47]
15,[802  44]
16,[794  53]
17,[798  48]
18,[796  51]
19,[793  58]
20,[796  57]
21,[793  58]
22,[792  56]
23,[789  64]
24,[790  65]
25,[788  69]
26,[783  72]
27,[784  64]
28,[781  68]
29,[779  65]
30,[781  68]
31,[777  71]
32,[773  79]
33,[769  81]
34,[769  81]
35,[772  90]
36,[770  87]
37,[768  87]
38,[768  87]
39,[772  91]
40,[772  92]
41,[772  97]
42,[775 103]
43,[777 102]
44,[777 101]
45,[770 105]
46,[769 104]
47,[763 101]
48,[761 103]
49,[758 104]
50,[758  99]
51,[748 109]
52,[748 111]
53,[751 111]
54,[750 107]
55,[750 117]
56,[755 124]
57,[752 113]
58,[751 121]
59,[746 119]
60,[753 120]
61,[746 125]
62,[745 120]
63,[753 125]
64,[748 129]
65,[746 126]
66,[745 127]
67,[743 124]
68,[734 123]
69,[740 125]
70,[742 127]
71,[734 126]
72,[734 124]
73,[734 124]
74,[725 121]
75,[727 128]
76,[727 126]
77,[725 129]
78,[719 132]
79,[718 134]
80,[718 133]
81,[716 127]
82,[719 133]
83,[716 138]
84,[712 136]
85,[720 140]
86,[715 145]
87,[718 142]
88,[719 137]
89,[721 139]
90,[716 136]
91,[715 148]
92,[714 152]
93,[725 144]
94,[720 140]
95,[720 145]
96,[722 147]
97,[724 148]
98,[720 153]
99,[716 152]
100,[718 148]
101,[713 153]
102,[716 157]
103,[711 162]
104,[710 159]
105,[716 164]
106,[714 165]
107,[721 166]
108,[721 176]
109,[720 177]
110,[720 172]
111,[714 175]
112,[708 173]
113,[711 173]
114,[712 171]
115,[718 170]
116,[714 163]
117,[714 168]
118,[713 169]
119,[715 169]
120,[715 171]
121,[720 167]
122,[712 165]
123,[714 168]
124,[709 165]
125,[707 167]
126,[703 168]
127,[707 168]
128,[707 172]
129,[703 171]
130,[704 169]
131,[699 167]
132,[696 179]
133,[689 173]
