,on_num,off_num
0,26.0,804.0
1,46.0,798.0
2,46.0,787.0
3,59.0,782.0
4,59.0,770.0
5,64.0,767.0
6,59.0,759.0
7,71.0,755.0
8,76.0,753.0
9,82.0,742.0
10,85.0,749.0
11,88.0,742.0
12,86.0,741.0
13,89.0,737.0
14,88.0,735.0
15,94.0,734.0
16,98.0,723.0
17,105.0,717.0
18,113.0,716.0
19,117.0,707.0
20,125.0,707.0
21,122.0,697.0
22,126.0,698.0
23,132.0,694.0
24,137.0,701.0
25,136.0,692.0
26,140.0,685.0
27,148.0,686.0
28,148.0,693.0
29,150.0,694.0
30,150.0,693.0
31,147.0,694.0
32,155.0,700.0
33,157.0,692.0
34,159.0,695.0
35,168.0,677.0
36,173.0,675.0
37,173.0,673.0
38,174.0,665.0
39,173.0,668.0
40,179.0,666.0
41,179.0,663.0
42,184.0,662.0
43,178.0,657.0
44,183.0,661.0
45,181.0,657.0
46,185.0,654.0
47,182.0,654.0
48,182.0,654.0
49,183.0,649.0
50,186.0,648.0
51,191.0,646.0
52,195.0,648.0
53,190.0,641.0
54,195.0,646.0
55,194.0,635.0
56,194.0,637.0
57,199.0,640.0
58,199.0,630.0
59,199.0,628.0
60,208.0,629.0
61,211.0,633.0
62,213.0,634.0
63,220.0,632.0
64,214.0,638.0
65,219.0,631.0
66,218.0,623.0
67,222.0,624.0
68,236.0,625.0
69,232.0,615.0
70,229.0,621.0
71,235.0,616.0
72,246.0,612.0
73,246.0,613.0
74,239.0,616.0
75,244.0,616.0
76,238.0,613.0
77,235.0,609.0
78,239.0,608.0
79,226.0,607.0
80,232.0,609.0
81,231.0,607.0
82,242.0,606.0
83,239.0,610.0
84,238.0,605.0
85,246.0,603.0
86,250.0,603.0
87,240.0,603.0
88,245.0,598.0
89,240.0,606.0
90,244.0,603.0
91,246.0,604.0
92,265.0,608.0
93,257.0,605.0
94,260.0,603.0
95,263.0,610.0
96,260.0,607.0
97,261.0,605.0
98,267.0,604.0
99,262.0,598.0
100,274.0,599.0
101,275.0,596.0
102,287.0,590.0
103,291.0,589.0
104,290.0,592.0
105,295.0,588.0
106,285.0,583.0
107,288.0,584.0
108,284.0,577.0
109,283.0,585.0
110,278.0,582.0
111,279.0,580.0
112,280.0,582.0
113,286.0,579.0
114,286.0,576.0
115,296.0,575.0
116,286.0,576.0
117,290.0,579.0
118,289.0,565.0
119,294.0,567.0
120,303.0,560.0
121,293.0,560.0
122,314.0,561.0
123,312.0,562.0
124,305.0,566.0
125,304.0,562.0
126,305.0,564.0
127,301.0,563.0
128,302.0,566.0
129,302.0,569.0
130,297.0,566.0
131,303.0,563.0
132,310.0,557.0
133,309.0,558.0
134,304.0,560.0
135,309.0,563.0
136,317.0,565.0
137,318.0,569.0
138,315.0,564.0
139,315.0,557.0
140,315.0,560.0
141,313.0,560.0
142,320.0,559.0
143,316.0,560.0
144,319.0,564.0
145,318.0,564.0
146,316.0,566.0
147,320.0,563.0
148,320.0,557.0
149,315.0,555.0
150,320.0,555.0
151,325.0,552.0
152,317.0,553.0
153,320.0,551.0
154,315.0,556.0
155,324.0,554.0
156,321.0,548.0
157,321.0,545.0
158,327.0,542.0
159,331.0,547.0
160,327.0,538.0
161,335.0,538.0
162,332.0,537.0
163,343.0,538.0
164,332.0,534.0
165,335.0,535.0
166,333.0,531.0
167,328.0,528.0
168,339.0,522.0
169,343.0,525.0
170,343.0,526.0
171,348.0,528.0
172,347.0,528.0
173,352.0,531.0
174,342.0,530.0
175,355.0,522.0
176,354.0,528.0
177,355.0,522.0
178,360.0,514.0
179,359.0,512.0
180,357.0,511.0
181,359.0,517.0
182,358.0,514.0
183,358.0,516.0
184,360.0,518.0
185,355.0,514.0
186,354.0,516.0
187,361.0,514.0
188,358.0,517.0
189,352.0,514.0
190,356.0,508.0
191,360.0,503.0
192,367.0,516.0
193,372.0,511.0
194,378.0,508.0
195,363.0,507.0
196,357.0,507.0
197,365.0,510.0
198,363.0,510.0
199,375.0,517.0
200,370.0,510.0
201,368.0,511.0
202,372.0,517.0
203,362.0,510.0
204,369.0,512.0
205,374.0,520.0
206,380.0,519.0
207,369.0,510.0
208,382.0,515.0
209,377.0,512.0
210,376.0,511.0
211,380.0,514.0
212,380.0,514.0
213,387.0,512.0
214,384.0,509.0
215,387.0,507.0
216,391.0,510.0
217,392.0,507.0
218,395.0,504.0
219,398.0,506.0
220,401.0,498.0
221,403.0,501.0
222,399.0,497.0
223,400.0,502.0
224,402.0,504.0
225,405.0,498.0
226,411.0,496.0
227,417.0,494.0
228,414.0,496.0
229,407.0,495.0
230,409.0,495.0
231,407.0,495.0
232,400.0,492.0
233,401.0,496.0
234,407.0,492.0
235,406.0,495.0
236,399.0,487.0
237,391.0,486.0
238,393.0,484.0
239,403.0,486.0
240,403.0,484.0
241,397.0,486.0
242,409.0,485.0
243,407.0,480.0
244,407.0,485.0
245,403.0,481.0
246,409.0,486.0
247,409.0,487.0
248,414.0,478.0
249,417.0,479.0
250,418.0,483.0
251,427.0,479.0
252,414.0,472.0
253,414.0,478.0
254,408.0,474.0
255,407.0,487.0
256,414.0,479.0
257,422.0,476.0
258,421.0,478.0
259,422.0,475.0
260,417.0,472.0
261,423.0,468.0
262,424.0,470.0
263,424.0,474.0
264,425.0,469.0
265,424.0,472.0
266,426.0,471.0
267,424.0,472.0
268,434.0,472.0
269,434.0,475.0
270,430.0,460.0
271,432.0,456.0
272,431.0,458.0
273,423.0,457.0
274,429.0,455.0
275,429.0,456.0
276,434.0,455.0
277,441.0,456.0
278,439.0,453.0
279,435.0,451.0
280,441.0,448.0
281,444.0,445.0
282,435.0,445.0
283,429.0,448.0
284,442.0,450.0
285,430.0,449.0
286,429.0,439.0
287,427.0,435.0
288,430.0,438.0
289,434.0,437.0
290,442.0,435.0
291,435.0,435.0
292,447.0,436.0
293,437.0,438.0
294,445.0,436.0
295,444.0,434.0
296,437.0,428.0
297,438.0,430.0
298,435.0,432.0
299,430.0,431.0
300,439.0,433.0
301,439.0,434.0
302,433.0,434.0
303,444.0,429.0
304,439.0,428.0
305,446.0,425.0
306,434.0,432.0
307,445.0,427.0
308,446.0,431.0
309,438.0,432.0
310,440.0,433.0
311,455.0,436.0
312,454.0,426.0
313,460.0,431.0
314,456.0,434.0
315,456.0,436.0
316,446.0,434.0
317,446.0,432.0
318,446.0,430.0
319,453.0,431.0
320,445.0,428.0
321,452.0,431.0
322,452.0,428.0
323,451.0,425.0
324,449.0,428.0
325,458.0,425.0
326,457.0,429.0
327,458.0,424.0
328,462.0,424.0
329,469.0,426.0
330,465.0,428.0
331,458.0,424.0
332,458.0,424.0
333,452.0,419.0
334,454.0,421.0
335,453.0,420.0
336,462.0,427.0
337,456.0,425.0
338,464.0,425.0
339,469.0,419.0
340,474.0,419.0
341,470.0,417.0
342,471.0,417.0
343,473.0,427.0
344,473.0,422.0
345,482.0,421.0
346,486.0,425.0
347,482.0,421.0
348,477.0,424.0
349,469.0,427.0
350,475.0,422.0
351,483.0,421.0
352,478.0,420.0
353,479.0,418.0
354,480.0,418.0
355,477.0,416.0
356,475.0,413.0
357,477.0,415.0
358,478.0,422.0
359,479.0,422.0
360,486.0,427.0
361,486.0,419.0
362,489.0,421.0
363,491.0,419.0
364,498.0,418.0
365,498.0,422.0
366,503.0,419.0
367,504.0,417.0
368,504.0,424.0
369,500.0,418.0
370,508.0,419.0
371,508.0,421.0
372,495.0,419.0
373,501.0,419.0
374,503.0,415.0
375,503.0,415.0
376,506.0,408.0
377,511.0,409.0
378,511.0,407.0
379,515.0,402.0
380,516.0,406.0
381,515.0,402.0
382,517.0,399.0
383,515.0,392.0
384,521.0,400.0
385,519.0,398.0
386,515.0,396.0
387,520.0,394.0
388,530.0,390.0
389,522.0,390.0
390,522.0,393.0
391,517.0,395.0
392,519.0,396.0
393,518.0,391.0
394,512.0,391.0
395,512.0,389.0
396,513.0,390.0
397,504.0,382.0
398,505.0,390.0
399,513.0,389.0
400,513.0,393.0
401,508.0,388.0
402,503.0,395.0
403,512.0,392.0
404,516.0,394.0
405,511.0,396.0
406,509.0,394.0
407,511.0,388.0
408,504.0,390.0
409,508.0,386.0
410,508.0,388.0
411,501.0,391.0
412,497.0,395.0
413,497.0,395.0
414,493.0,393.0
415,495.0,398.0
416,494.0,398.0
417,488.0,393.0
418,490.0,397.0
419,492.0,398.0
420,489.0,401.0
421,492.0,395.0
422,492.0,393.0
423,498.0,391.0
424,495.0,392.0
425,485.0,395.0
426,493.0,392.0
427,482.0,387.0
428,482.0,389.0
429,488.0,382.0
430,486.0,381.0
431,487.0,385.0
432,491.0,386.0
433,485.0,387.0
434,490.0,388.0
435,486.0,389.0
436,491.0,393.0
437,497.0,390.0
438,490.0,384.0
439,490.0,389.0
440,493.0,383.0
441,491.0,384.0
442,500.0,382.0
443,507.0,386.0
444,499.0,380.0
445,506.0,382.0
446,503.0,376.0
447,510.0,376.0
448,510.0,377.0
449,508.0,372.0
450,501.0,377.0
451,509.0,367.0
452,511.0,369.0
453,502.0,367.0
454,515.0,366.0
455,500.0,364.0
456,499.0,361.0
457,492.0,366.0
458,493.0,363.0
459,501.0,364.0
460,504.0,366.0
461,510.0,361.0
462,507.0,366.0
463,501.0,363.0
464,498.0,361.0
465,502.0,362.0
466,512.0,364.0
467,506.0,361.0
468,506.0,364.0
469,502.0,365.0
470,496.0,369.0
471,491.0,363.0
472,502.0,362.0
473,497.0,365.0
474,487.0,361.0
475,489.0,356.0
476,498.0,364.0
477,491.0,363.0
478,489.0,361.0
479,486.0,358.0
480,497.0,365.0
481,498.0,360.0
482,502.0,358.0
483,507.0,364.0
484,506.0,359.0
485,512.0,364.0
486,507.0,357.0
487,507.0,362.0
488,508.0,358.0
489,509.0,362.0
490,514.0,353.0
491,511.0,356.0
492,507.0,355.0
493,507.0,353.0
494,509.0,356.0
495,514.0,354.0
496,509.0,351.0
497,505.0,352.0
498,508.0,350.0
499,516.0,352.0
500,511.0,351.0
501,506.0,351.0
502,508.0,354.0
503,504.0,352.0
504,516.0,349.0
505,512.0,346.0
506,519.0,347.0
507,516.0,343.0
508,509.0,342.0
509,522.0,346.0
510,523.0,348.0
511,510.0,341.0
512,511.0,343.0
513,509.0,346.0
514,505.0,345.0
515,509.0,345.0
516,513.0,343.0
517,512.0,341.0
518,513.0,340.0
519,516.0,338.0
520,511.0,341.0
521,505.0,341.0
522,520.0,342.0
523,519.0,337.0
524,518.0,340.0
525,517.0,336.0
526,514.0,336.0
527,520.0,336.0
528,518.0,331.0
529,526.0,329.0
530,526.0,335.0
531,526.0,333.0
532,516.0,334.0
533,525.0,330.0
534,524.0,333.0
535,524.0,331.0
536,526.0,335.0
537,525.0,333.0
538,523.0,334.0
539,523.0,336.0
540,525.0,340.0
541,528.0,340.0
542,525.0,332.0
543,519.0,331.0
544,524.0,332.0
545,521.0,339.0
546,517.0,333.0
547,514.0,339.0
548,512.0,334.0
549,512.0,335.0
550,518.0,334.0
551,518.0,339.0
552,516.0,336.0
553,511.0,340.0
554,517.0,341.0
555,512.0,338.0
556,507.0,337.0
557,504.0,338.0
558,501.0,331.0
559,498.0,334.0
560,507.0,337.0
561,510.0,340.0
562,514.0,345.0
563,518.0,338.0
564,522.0,334.0
565,530.0,333.0
566,529.0,333.0
567,519.0,331.0
568,522.0,327.0
569,523.0,329.0
570,514.0,323.0
571,512.0,327.0
572,525.0,325.0
573,532.0,327.0
574,528.0,326.0
575,518.0,331.0
576,525.0,333.0
577,528.0,328.0
578,527.0,328.0
579,537.0,331.0
580,547.0,331.0
581,542.0,331.0
582,542.0,334.0
583,540.0,337.0
584,540.0,331.0
585,535.0,329.0
586,530.0,326.0
587,524.0,331.0
588,530.0,328.0
589,532.0,328.0
590,536.0,326.0
591,533.0,323.0
592,538.0,321.0
593,534.0,317.0
594,531.0,316.0
595,538.0,316.0
596,540.0,321.0
597,535.0,319.0
598,527.0,320.0
599,541.0,321.0
600,551.0,320.0
601,551.0,323.0
602,543.0,325.0
603,551.0,321.0
604,555.0,315.0
605,546.0,316.0
606,544.0,310.0
607,545.0,308.0
608,550.0,314.0
609,546.0,310.0
610,546.0,309.0
611,549.0,303.0
612,555.0,308.0
613,549.0,306.0
614,545.0,309.0
615,542.0,302.0
616,556.0,301.0
617,539.0,304.0
618,548.0,307.0
619,532.0,299.0
620,528.0,302.0
621,532.0,307.0
622,533.0,306.0
623,535.0,305.0
624,542.0,303.0
625,546.0,309.0
626,540.0,305.0
627,542.0,308.0
628,540.0,308.0
629,546.0,307.0
630,545.0,307.0
631,555.0,306.0
632,547.0,302.0
633,542.0,293.0
634,539.0,293.0
635,543.0,288.0
636,547.0,295.0
637,549.0,296.0
638,549.0,302.0
639,549.0,293.0
640,548.0,299.0
641,548.0,299.0
642,548.0,300.0
643,549.0,294.0
644,546.0,297.0
645,547.0,299.0
646,541.0,299.0
647,544.0,296.0
648,545.0,297.0
649,541.0,301.0
650,550.0,300.0
651,539.0,298.0
652,551.0,298.0
653,551.0,300.0
654,550.0,295.0
655,556.0,299.0
656,566.0,297.0
657,559.0,292.0
658,565.0,289.0
659,573.0,288.0
660,568.0,293.0
661,567.0,293.0
662,574.0,292.0
663,569.0,292.0
664,558.0,295.0
665,561.0,292.0
666,575.0,290.0
667,581.0,293.0
668,581.0,288.0
669,578.0,286.0
670,582.0,284.0
671,577.0,284.0
672,575.0,282.0
673,576.0,284.0
674,581.0,285.0
675,581.0,289.0
676,575.0,285.0
677,586.0,289.0
678,587.0,287.0
679,584.0,286.0
680,583.0,285.0
681,576.0,280.0
682,574.0,284.0
683,579.0,288.0
684,578.0,282.0
685,587.0,284.0
686,576.0,284.0
687,579.0,288.0
688,576.0,284.0
689,580.0,290.0
690,585.0,291.0
691,579.0,293.0
692,586.0,293.0
693,577.0,288.0
694,579.0,287.0
695,578.0,281.0
696,571.0,287.0
697,578.0,287.0
698,588.0,286.0
699,584.0,287.0
700,585.0,285.0
701,581.0,284.0
702,582.0,287.0
703,581.0,290.0
704,581.0,283.0
705,590.0,282.0
706,596.0,280.0
707,591.0,285.0
708,591.0,281.0
709,588.0,281.0
710,579.0,285.0
711,583.0,285.0
712,593.0,283.0
713,585.0,279.0
714,587.0,282.0
715,582.0,285.0
716,584.0,281.0
717,576.0,284.0
718,572.0,278.0
719,584.0,276.0
720,580.0,279.0
721,577.0,278.0
722,576.0,281.0
723,587.0,280.0
724,576.0,281.0
725,582.0,280.0
726,586.0,280.0
727,584.0,275.0
728,580.0,280.0
729,587.0,281.0
730,577.0,285.0
731,584.0,281.0
732,583.0,279.0
733,581.0,280.0
734,581.0,277.0
735,586.0,281.0
736,584.0,278.0
737,583.0,280.0
738,584.0,280.0
739,592.0,279.0
740,591.0,281.0
741,594.0,280.0
742,597.0,274.0
743,598.0,279.0
744,597.0,281.0
745,596.0,274.0
746,605.0,276.0
747,592.0,271.0
748,594.0,274.0
749,599.0,273.0
750,593.0,272.0
751,595.0,266.0
752,597.0,267.0
753,596.0,265.0
754,598.0,268.0
755,597.0,264.0
756,599.0,262.0
757,603.0,262.0
758,594.0,263.0
759,591.0,266.0
760,591.0,268.0
761,599.0,270.0
762,589.0,264.0
763,592.0,264.0
764,593.0,264.0
765,590.0,262.0
766,592.0,260.0
767,590.0,262.0
768,589.0,267.0
769,591.0,271.0
770,593.0,262.0
771,587.0,262.0
772,582.0,260.0
773,593.0,263.0
774,592.0,265.0
775,597.0,261.0
776,595.0,261.0
777,594.0,261.0
778,597.0,263.0
779,586.0,262.0
780,597.0,257.0
781,603.0,256.0
782,599.0,253.0
783,595.0,260.0
784,601.0,263.0
785,603.0,258.0
786,600.0,258.0
787,599.0,259.0
788,601.0,259.0
789,604.0,255.0
790,598.0,263.0
791,585.0,261.0
792,591.0,262.0
793,587.0,261.0
794,598.0,265.0
795,591.0,264.0
796,588.0,265.0
797,590.0,263.0
798,593.0,264.0
799,591.0,255.0
800,584.0,257.0
801,586.0,259.0
802,588.0,261.0
803,590.0,260.0
804,581.0,261.0
805,585.0,254.0
806,583.0,258.0
807,582.0,256.0
808,582.0,253.0
809,590.0,253.0
810,590.0,254.0
811,590.0,255.0
812,583.0,258.0
813,586.0,259.0
814,583.0,256.0
815,588.0,254.0
816,593.0,259.0
817,585.0,259.0
818,593.0,256.0
819,588.0,252.0
820,575.0,258.0
821,576.0,254.0
822,584.0,253.0
823,578.0,251.0
824,581.0,248.0
825,577.0,249.0
826,580.0,248.0
