,on_num,off_num
0,27.0,821.0
1,36.0,816.0
2,48.0,807.0
3,54.0,800.0
4,53.0,784.0
5,63.0,781.0
6,70.0,778.0
7,69.0,772.0
8,65.0,779.0
9,69.0,768.0
10,72.0,764.0
11,87.0,749.0
12,83.0,753.0
13,91.0,747.0
14,89.0,746.0
15,87.0,751.0
16,84.0,752.0
17,96.0,746.0
18,101.0,750.0
19,108.0,743.0
20,105.0,735.0
21,108.0,734.0
22,112.0,735.0
23,108.0,724.0
24,113.0,723.0
25,119.0,714.0
26,126.0,708.0
27,116.0,703.0
28,121.0,711.0
29,116.0,706.0
30,122.0,706.0
31,124.0,708.0
32,124.0,706.0
33,126.0,700.0
34,129.0,697.0
35,129.0,696.0
36,126.0,703.0
37,126.0,704.0
38,121.0,699.0
39,119.0,702.0
40,124.0,696.0
41,126.0,701.0
42,128.0,702.0
43,137.0,696.0
44,143.0,696.0
45,147.0,687.0
46,150.0,687.0
47,156.0,685.0
48,147.0,688.0
49,161.0,678.0
50,152.0,682.0
51,155.0,692.0
52,158.0,679.0
53,155.0,677.0
54,160.0,675.0
55,176.0,669.0
56,179.0,670.0
57,174.0,656.0
58,183.0,656.0
59,177.0,658.0
60,175.0,657.0
61,178.0,658.0
62,182.0,651.0
63,177.0,652.0
64,177.0,650.0
65,182.0,648.0
66,179.0,645.0
67,176.0,654.0
68,181.0,648.0
69,186.0,657.0
70,197.0,650.0
71,199.0,647.0
72,203.0,646.0
73,208.0,641.0
74,206.0,640.0
75,209.0,642.0
76,205.0,644.0
77,204.0,638.0
78,201.0,639.0
79,213.0,643.0
80,228.0,641.0
81,218.0,641.0
82,223.0,639.0
83,213.0,633.0
84,216.0,632.0
85,209.0,628.0
86,220.0,628.0
87,220.0,632.0
88,221.0,623.0
89,218.0,623.0
90,217.0,623.0
91,228.0,624.0
92,225.0,628.0
93,229.0,620.0
94,229.0,618.0
95,233.0,611.0
96,232.0,616.0
97,237.0,607.0
98,235.0,604.0
99,238.0,608.0
100,239.0,604.0
101,234.0,603.0
102,243.0,601.0
103,240.0,605.0
104,231.0,607.0
105,233.0,612.0
106,235.0,605.0
107,233.0,600.0
108,234.0,606.0
109,241.0,606.0
110,257.0,606.0
111,249.0,597.0
112,247.0,598.0
113,247.0,604.0
114,251.0,594.0
115,255.0,588.0
116,255.0,588.0
117,253.0,581.0
118,264.0,591.0
119,270.0,597.0
120,270.0,590.0
121,267.0,589.0
122,265.0,590.0
123,260.0,590.0
124,267.0,587.0
125,262.0,586.0
126,256.0,586.0
127,262.0,585.0
128,269.0,583.0
129,268.0,581.0
130,262.0,576.0
131,266.0,581.0
132,274.0,576.0
133,270.0,577.0
134,271.0,578.0
135,270.0,580.0
136,272.0,577.0
137,270.0,577.0
138,269.0,569.0
139,273.0,566.0
140,274.0,571.0
141,279.0,572.0
142,275.0,571.0
143,276.0,576.0
144,272.0,578.0
145,279.0,581.0
146,276.0,579.0
147,273.0,575.0
148,276.0,572.0
149,280.0,569.0
150,271.0,567.0
151,266.0,565.0
152,269.0,565.0
153,274.0,568.0
154,273.0,567.0
155,277.0,567.0
156,272.0,566.0
157,277.0,559.0
158,283.0,557.0
159,280.0,557.0
160,290.0,554.0
161,291.0,553.0
162,283.0,556.0
163,288.0,554.0
164,287.0,551.0
165,278.0,543.0
166,278.0,544.0
167,282.0,542.0
168,284.0,541.0
169,291.0,541.0
170,294.0,542.0
171,298.0,534.0
172,298.0,535.0
173,299.0,536.0
174,305.0,537.0
175,301.0,535.0
176,300.0,536.0
177,297.0,530.0
178,300.0,530.0
179,307.0,528.0
180,300.0,528.0
181,298.0,530.0
182,298.0,525.0
183,308.0,533.0
184,306.0,531.0
185,302.0,527.0
186,302.0,526.0
187,301.0,519.0
188,299.0,519.0
189,296.0,513.0
190,301.0,520.0
191,300.0,519.0
192,291.0,527.0
193,298.0,521.0
194,305.0,521.0
195,314.0,520.0
196,318.0,519.0
197,310.0,526.0
198,315.0,521.0
199,324.0,520.0
200,319.0,516.0
201,326.0,511.0
202,325.0,514.0
203,324.0,516.0
204,329.0,508.0
205,332.0,516.0
206,331.0,513.0
207,337.0,517.0
208,332.0,511.0
209,328.0,508.0
210,326.0,517.0
211,332.0,516.0
212,335.0,510.0
213,337.0,519.0
214,331.0,514.0
215,334.0,515.0
216,326.0,512.0
217,326.0,512.0
218,330.0,512.0
219,320.0,509.0
220,322.0,509.0
221,317.0,514.0
222,317.0,512.0
223,315.0,502.0
224,321.0,502.0
225,315.0,506.0
226,322.0,505.0
227,322.0,505.0
228,326.0,502.0
229,333.0,502.0
230,339.0,506.0
231,335.0,505.0
232,343.0,501.0
233,329.0,505.0
234,335.0,504.0
235,343.0,501.0
236,346.0,496.0
237,340.0,486.0
238,334.0,496.0
239,335.0,497.0
240,336.0,500.0
241,340.0,495.0
242,341.0,495.0
243,336.0,489.0
244,339.0,487.0
245,339.0,494.0
