,on_num,off_num
0,29.0,803.0
1,39.0,792.0
2,42.0,787.0
3,55.0,780.0
4,54.0,763.0
5,64.0,764.0
6,72.0,753.0
7,85.0,739.0
8,86.0,743.0
9,91.0,729.0
10,91.0,730.0
11,102.0,728.0
12,105.0,725.0
13,101.0,721.0
14,105.0,712.0
15,106.0,709.0
16,108.0,703.0
17,114.0,692.0
18,130.0,683.0
19,124.0,682.0
20,130.0,684.0
21,129.0,674.0
22,125.0,671.0
23,133.0,665.0
24,142.0,664.0
25,143.0,662.0
26,138.0,656.0
27,146.0,649.0
28,141.0,645.0
29,150.0,646.0
30,154.0,650.0
31,158.0,645.0
32,164.0,649.0
33,173.0,644.0
34,178.0,652.0
35,185.0,651.0
36,195.0,640.0
37,191.0,643.0
38,190.0,641.0
39,197.0,631.0
40,193.0,631.0
41,198.0,628.0
42,193.0,627.0
43,197.0,625.0
44,199.0,619.0
45,201.0,617.0
46,208.0,620.0
47,201.0,616.0
48,199.0,615.0
49,206.0,618.0
50,210.0,619.0
51,202.0,605.0
52,216.0,608.0
53,214.0,602.0
54,206.0,596.0
55,206.0,594.0
56,211.0,588.0
57,215.0,587.0
58,213.0,577.0
59,218.0,580.0
60,229.0,572.0
61,236.0,576.0
62,236.0,578.0
63,231.0,579.0
64,238.0,574.0
65,234.0,577.0
66,231.0,568.0
67,239.0,569.0
68,240.0,565.0
69,231.0,561.0
70,233.0,571.0
71,229.0,570.0
72,238.0,568.0
73,232.0,560.0
74,230.0,562.0
75,235.0,565.0
76,234.0,553.0
77,240.0,557.0
78,245.0,555.0
79,236.0,552.0
80,246.0,548.0
81,243.0,547.0
82,241.0,544.0
83,252.0,545.0
84,246.0,542.0
85,252.0,546.0
86,250.0,550.0
87,255.0,539.0
88,255.0,541.0
89,254.0,533.0
90,254.0,528.0
91,259.0,519.0
92,272.0,514.0
93,271.0,516.0
94,266.0,520.0
95,265.0,518.0
96,266.0,517.0
97,264.0,513.0
98,275.0,512.0
99,282.0,504.0
100,273.0,512.0
101,280.0,510.0
102,291.0,504.0
103,291.0,503.0
104,295.0,500.0
105,295.0,505.0
106,310.0,492.0
107,301.0,494.0
108,300.0,494.0
109,304.0,495.0
110,302.0,494.0
111,302.0,493.0
112,306.0,494.0
113,305.0,495.0
114,306.0,491.0
115,308.0,493.0
116,309.0,493.0
117,310.0,490.0
118,305.0,482.0
119,313.0,480.0
120,308.0,479.0
121,311.0,476.0
122,305.0,477.0
123,311.0,474.0
124,311.0,473.0
125,317.0,476.0
126,310.0,471.0
127,308.0,473.0
128,316.0,466.0
129,317.0,476.0
130,312.0,463.0
131,313.0,467.0
132,324.0,461.0
133,322.0,459.0
134,321.0,459.0
135,331.0,457.0
136,325.0,461.0
137,321.0,466.0
138,327.0,458.0
