,on_num,off_num
0,26.0,829.0
1,42.0,812.0
2,52.0,807.0
3,60.0,804.0
4,58.0,805.0
5,80.0,792.0
6,88.0,783.0
7,100.0,783.0
8,100.0,771.0
9,96.0,768.0
10,124.0,751.0
11,124.0,750.0
12,124.0,747.0
13,143.0,743.0
14,142.0,739.0
15,147.0,726.0
16,150.0,722.0
17,139.0,716.0
18,155.0,716.0
19,159.0,712.0
20,162.0,708.0
21,163.0,705.0
22,183.0,709.0
23,174.0,705.0
24,185.0,701.0
25,185.0,702.0
26,177.0,697.0
27,188.0,690.0
28,194.0,688.0
29,200.0,678.0
30,189.0,677.0
31,184.0,678.0
32,179.0,671.0
33,192.0,675.0
34,194.0,675.0
35,192.0,674.0
36,196.0,677.0
37,202.0,675.0
38,209.0,677.0
39,214.0,665.0
40,216.0,659.0
41,216.0,665.0
42,220.0,655.0
43,228.0,648.0
44,238.0,640.0
45,230.0,647.0
46,228.0,649.0
47,241.0,637.0
48,237.0,635.0
49,243.0,635.0
50,252.0,630.0
51,253.0,626.0
52,240.0,627.0
53,257.0,620.0
54,246.0,609.0
55,247.0,622.0
56,254.0,615.0
57,254.0,613.0
58,258.0,613.0
59,260.0,617.0
60,253.0,602.0
61,248.0,603.0
62,261.0,603.0
63,261.0,609.0
64,254.0,607.0
65,265.0,603.0
66,269.0,596.0
67,270.0,595.0
68,267.0,587.0
69,270.0,586.0
70,260.0,586.0
71,274.0,583.0
72,279.0,578.0
73,275.0,579.0
74,285.0,584.0
75,283.0,580.0
76,282.0,581.0
77,293.0,576.0
78,287.0,576.0
79,286.0,569.0
80,289.0,573.0
81,290.0,573.0
82,300.0,563.0
83,294.0,565.0
84,304.0,561.0
85,299.0,562.0
86,300.0,557.0
87,297.0,554.0
88,298.0,544.0
89,296.0,548.0
90,293.0,551.0
91,301.0,546.0
92,300.0,538.0
93,296.0,539.0
94,302.0,542.0
95,305.0,545.0
96,297.0,546.0
97,298.0,542.0
98,300.0,536.0
99,301.0,534.0
100,304.0,536.0
101,305.0,542.0
102,308.0,539.0
103,305.0,534.0
104,307.0,536.0
105,302.0,528.0
106,313.0,527.0
107,307.0,527.0
108,321.0,525.0
109,327.0,518.0
110,326.0,515.0
111,322.0,517.0
112,323.0,518.0
113,322.0,516.0
114,327.0,517.0
115,331.0,522.0
116,324.0,515.0
117,335.0,515.0
118,336.0,513.0
119,338.0,519.0
120,327.0,519.0
121,325.0,518.0
122,328.0,505.0
123,338.0,501.0
124,333.0,498.0
125,340.0,487.0
126,335.0,491.0
127,330.0,495.0
128,330.0,495.0
129,343.0,496.0
130,343.0,486.0
131,334.0,488.0
132,335.0,490.0
133,334.0,488.0
134,342.0,483.0
135,338.0,480.0
136,341.0,478.0
137,353.0,477.0
138,350.0,482.0
139,364.0,474.0
140,360.0,470.0
141,361.0,477.0
142,356.0,476.0
143,348.0,475.0
144,360.0,471.0
145,363.0,471.0
146,356.0,466.0
147,374.0,468.0
148,366.0,466.0
149,356.0,470.0
150,360.0,468.0
151,359.0,462.0
152,357.0,459.0
153,374.0,468.0
154,369.0,463.0
155,370.0,460.0
156,390.0,459.0
157,386.0,455.0
158,387.0,457.0
159,383.0,463.0
160,378.0,462.0
161,389.0,462.0
162,385.0,462.0
163,396.0,457.0
164,388.0,454.0
165,377.0,459.0
166,380.0,452.0
167,382.0,452.0
168,391.0,448.0
169,392.0,446.0
170,391.0,445.0
171,395.0,447.0
172,397.0,449.0
173,393.0,455.0
174,404.0,458.0
175,397.0,453.0
176,400.0,445.0
177,386.0,440.0
178,396.0,447.0
179,401.0,448.0
180,397.0,454.0
181,392.0,442.0
182,395.0,441.0
183,406.0,447.0
184,414.0,443.0
185,413.0,436.0
186,415.0,444.0
187,417.0,444.0
188,417.0,442.0
189,419.0,438.0
190,424.0,438.0
191,415.0,442.0
192,416.0,442.0
193,416.0,428.0
194,418.0,435.0
195,420.0,428.0
196,425.0,426.0
197,430.0,420.0
198,440.0,422.0
