,on_num,off_num
0,16.0,859.0
1,24.0,852.0
2,21.0,851.0
3,26.0,841.0
4,28.0,838.0
5,33.0,829.0
6,32.0,829.0
7,34.0,823.0
8,43.0,824.0
9,47.0,818.0
10,48.0,818.0
11,53.0,816.0
12,53.0,816.0
13,60.0,818.0
14,60.0,815.0
15,60.0,818.0
16,64.0,819.0
17,59.0,811.0
18,68.0,804.0
19,63.0,806.0
20,62.0,806.0
21,61.0,806.0
22,62.0,806.0
23,65.0,800.0
24,71.0,796.0
25,67.0,797.0
26,72.0,794.0
27,77.0,794.0
28,75.0,796.0
29,70.0,789.0
30,75.0,787.0
31,73.0,784.0
32,75.0,786.0
33,76.0,785.0
34,78.0,788.0
35,78.0,782.0
36,76.0,784.0
37,78.0,781.0
38,76.0,778.0
39,77.0,774.0
40,80.0,773.0
41,85.0,773.0
42,82.0,772.0
43,85.0,774.0
44,86.0,773.0
45,85.0,776.0
46,87.0,772.0
47,89.0,776.0
48,87.0,773.0
49,87.0,767.0
50,92.0,764.0
51,94.0,770.0
52,92.0,768.0
53,95.0,764.0
54,98.0,764.0
55,97.0,764.0
56,99.0,759.0
57,97.0,759.0
58,100.0,762.0
59,99.0,758.0
60,105.0,756.0
61,107.0,755.0
62,100.0,749.0
63,99.0,753.0
64,106.0,749.0
65,108.0,749.0
66,103.0,752.0
67,105.0,755.0
68,111.0,759.0
69,110.0,747.0
70,117.0,745.0
71,110.0,745.0
72,114.0,746.0
73,122.0,745.0
74,123.0,741.0
75,109.0,742.0
76,118.0,743.0
77,121.0,749.0
78,123.0,746.0
79,120.0,744.0
80,124.0,745.0
81,126.0,744.0
82,126.0,735.0
83,130.0,736.0
84,135.0,738.0
85,137.0,736.0
86,127.0,737.0
87,135.0,739.0
88,139.0,732.0
89,140.0,724.0
90,135.0,728.0
91,136.0,727.0
92,132.0,729.0
93,128.0,730.0
94,134.0,731.0
95,131.0,732.0
96,133.0,732.0
97,129.0,731.0
98,133.0,724.0
99,130.0,727.0
100,137.0,724.0
101,139.0,725.0
102,132.0,725.0
103,134.0,724.0
104,143.0,725.0
105,139.0,723.0
106,140.0,722.0
107,142.0,728.0
108,147.0,727.0
109,143.0,725.0
110,142.0,727.0
111,139.0,726.0
112,138.0,728.0
113,144.0,722.0
114,151.0,719.0
115,148.0,717.0
116,144.0,715.0
117,146.0,724.0
118,149.0,718.0
119,150.0,715.0
120,141.0,715.0
121,150.0,717.0
122,147.0,721.0
123,154.0,723.0
124,156.0,721.0
125,146.0,720.0
126,156.0,722.0
127,149.0,723.0
128,147.0,719.0
129,149.0,714.0
130,149.0,714.0
131,147.0,713.0
132,142.0,712.0
133,145.0,705.0
134,144.0,708.0
135,147.0,705.0
136,145.0,709.0
137,145.0,703.0
138,151.0,710.0
139,150.0,710.0
140,151.0,707.0
141,149.0,709.0
142,146.0,713.0
143,146.0,703.0
144,145.0,706.0
145,146.0,709.0
146,143.0,706.0
147,144.0,705.0
148,152.0,704.0
149,150.0,710.0
150,154.0,706.0
151,160.0,711.0
152,157.0,710.0
153,159.0,706.0
154,158.0,712.0
155,162.0,710.0
156,158.0,706.0
157,161.0,707.0
158,156.0,707.0
159,158.0,698.0
160,157.0,697.0
161,156.0,697.0
162,156.0,695.0
163,158.0,701.0
164,167.0,694.0
165,166.0,698.0
166,168.0,700.0
167,173.0,700.0
168,171.0,694.0
169,173.0,697.0
170,171.0,693.0
171,168.0,693.0
172,170.0,694.0
173,167.0,698.0
174,168.0,688.0
175,167.0,690.0
176,170.0,692.0
177,171.0,691.0
178,175.0,691.0
179,171.0,692.0
180,176.0,694.0
181,169.0,694.0
182,176.0,692.0
183,176.0,693.0
184,182.0,696.0
185,179.0,694.0
186,180.0,689.0
187,177.0,685.0
188,179.0,687.0
189,182.0,687.0
190,178.0,683.0
191,182.0,687.0
192,186.0,687.0
193,187.0,683.0
194,185.0,679.0
195,186.0,685.0
196,185.0,681.0
197,183.0,680.0
198,183.0,683.0
199,180.0,684.0
200,179.0,681.0
201,185.0,678.0
202,190.0,679.0
203,190.0,675.0
204,192.0,679.0
205,195.0,681.0
206,194.0,682.0
207,199.0,679.0
208,197.0,672.0
209,197.0,673.0
210,196.0,675.0
211,198.0,678.0
212,197.0,678.0
213,196.0,670.0
214,197.0,669.0
215,199.0,669.0
216,195.0,671.0
217,198.0,663.0
218,193.0,666.0
219,196.0,661.0
220,189.0,667.0
221,193.0,665.0
222,196.0,665.0
223,196.0,667.0
224,201.0,662.0
225,200.0,663.0
226,199.0,666.0
227,201.0,666.0
228,206.0,661.0
229,201.0,659.0
230,201.0,664.0
231,198.0,661.0
232,202.0,665.0
233,205.0,665.0
234,208.0,665.0
235,214.0,662.0
236,215.0,664.0
237,212.0,661.0
238,213.0,657.0
239,209.0,658.0
240,210.0,658.0
241,212.0,659.0
242,216.0,661.0
243,215.0,663.0
244,217.0,660.0
245,214.0,658.0
246,212.0,657.0
247,211.0,653.0
248,215.0,655.0
249,210.0,658.0
250,217.0,661.0
251,218.0,657.0
252,213.0,658.0
253,209.0,658.0
254,201.0,653.0
255,202.0,650.0
256,207.0,652.0
257,208.0,656.0
258,207.0,652.0
259,210.0,650.0
260,212.0,653.0
261,213.0,646.0
262,216.0,646.0
263,210.0,641.0
264,214.0,639.0
265,211.0,640.0
266,211.0,640.0
267,216.0,642.0
268,213.0,641.0
269,204.0,642.0
270,214.0,638.0
271,211.0,642.0
272,214.0,642.0
273,211.0,643.0
274,220.0,645.0
275,223.0,647.0
276,220.0,642.0
277,223.0,647.0
278,223.0,649.0
279,226.0,649.0
280,224.0,645.0
281,230.0,643.0
282,223.0,643.0
283,225.0,640.0
284,220.0,636.0
285,223.0,634.0
286,221.0,638.0
287,223.0,636.0
288,225.0,631.0
289,219.0,627.0
290,223.0,635.0
291,222.0,633.0
292,221.0,630.0
293,215.0,628.0
294,220.0,630.0
295,223.0,627.0
296,225.0,628.0
297,226.0,624.0
298,226.0,626.0
299,233.0,627.0
300,228.0,627.0
301,235.0,627.0
302,229.0,626.0
303,231.0,625.0
304,226.0,627.0
305,224.0,622.0
306,220.0,625.0
307,224.0,624.0
308,229.0,624.0
309,232.0,629.0
310,232.0,626.0
311,235.0,628.0
312,235.0,625.0
313,231.0,628.0
314,230.0,627.0
315,234.0,628.0
316,234.0,624.0
317,234.0,622.0
318,234.0,623.0
319,232.0,630.0
320,231.0,626.0
321,229.0,624.0
322,229.0,626.0
323,227.0,625.0
324,224.0,628.0
325,228.0,626.0
326,225.0,625.0
327,229.0,626.0
328,233.0,621.0
329,239.0,613.0
330,238.0,614.0
331,243.0,616.0
332,240.0,616.0
333,234.0,618.0
334,237.0,616.0
335,232.0,620.0
336,227.0,618.0
337,229.0,611.0
338,223.0,610.0
339,226.0,613.0
340,225.0,608.0
341,229.0,602.0
342,228.0,605.0
343,229.0,610.0
344,233.0,610.0
345,235.0,616.0
346,238.0,615.0
347,239.0,615.0
348,243.0,615.0
349,241.0,617.0
350,239.0,616.0
351,238.0,617.0
352,247.0,619.0
353,249.0,617.0
354,250.0,616.0
355,248.0,615.0
356,248.0,611.0
357,249.0,616.0
358,247.0,609.0
359,246.0,612.0
360,251.0,612.0
361,250.0,620.0
362,251.0,617.0
363,249.0,611.0
364,250.0,610.0
365,248.0,609.0
366,251.0,611.0
367,254.0,606.0
368,251.0,604.0
369,254.0,607.0
370,252.0,604.0
371,251.0,602.0
372,252.0,599.0
373,252.0,600.0
374,257.0,605.0
375,257.0,597.0
376,257.0,592.0
377,252.0,602.0
378,251.0,603.0
379,259.0,600.0
380,254.0,603.0
381,258.0,606.0
382,251.0,600.0
383,251.0,603.0
384,247.0,606.0
385,262.0,603.0
386,263.0,598.0
387,258.0,601.0
388,263.0,599.0
389,267.0,600.0
390,263.0,603.0
391,262.0,600.0
392,257.0,599.0
393,256.0,598.0
394,262.0,596.0
395,262.0,592.0
396,261.0,593.0
397,262.0,595.0
398,265.0,593.0
399,269.0,594.0
400,265.0,595.0
401,267.0,593.0
402,271.0,595.0
403,270.0,594.0
404,273.0,594.0
405,272.0,598.0
