,frap_region
0,[857   0]
1,[836  13]
2,[835  17]
3,[828  22]
4,[824  29]
5,[820  29]
6,[815  40]
7,[810  43]
8,[805  48]
9,[801  54]
10,[802  61]
11,[800  59]
12,[794  54]
13,[797  62]
14,[796  62]
15,[788  61]
16,[791  66]
17,[787  57]
18,[785  60]
19,[781  58]
20,[778  62]
21,[773  58]
22,[775  60]
23,[774  61]
24,[781  64]
25,[773  67]
26,[768  72]
27,[766  67]
28,[765  66]
29,[763  74]
30,[766  73]
31,[765  75]
32,[762  77]
33,[763  74]
34,[762  75]
35,[762  80]
36,[762  76]
37,[764  82]
38,[766  89]
39,[770  92]
40,[763  94]
41,[766  99]
42,[760 100]
43,[764 100]
44,[763 102]
45,[765  99]
46,[764  96]
47,[763  95]
48,[760  96]
49,[761 105]
50,[765  94]
51,[763  97]
52,[764 106]
53,[751 106]
54,[752 105]
55,[756 108]
56,[760 106]
57,[760 104]
58,[751 111]
59,[755 110]
60,[754 111]
61,[751 109]
62,[751 116]
63,[748 113]
64,[741 110]
65,[740 110]
66,[742 116]
67,[742 114]
68,[744 108]
69,[744 117]
70,[737 115]
71,[735 114]
72,[739 120]
73,[738 120]
74,[741 124]
75,[742 116]
76,[739 117]
77,[743 114]
78,[738 116]
79,[734 109]
80,[736 107]
81,[734 114]
82,[732 115]
83,[736 116]
84,[739 113]
85,[741 114]
86,[743 115]
87,[740 119]
88,[742 122]
89,[735 121]
90,[733 128]
91,[732 121]
92,[727 126]
93,[731 128]
94,[729 124]
95,[735 125]
96,[731 120]
97,[728 122]
98,[726 122]
99,[727 124]
100,[723 118]
101,[722 127]
102,[718 130]
103,[720 127]
104,[716 129]
105,[716 125]
106,[716 128]
107,[714 132]
108,[718 123]
109,[718 131]
110,[711 131]
111,[713 133]
112,[712 129]
113,[711 131]
114,[713 131]
115,[711 130]
116,[711 133]
117,[707 130]
118,[710 130]
119,[703 136]
120,[705 139]
121,[708 140]
122,[706 144]
123,[706 141]
124,[708 144]
125,[707 143]
126,[705 144]
127,[707 143]
128,[712 145]
129,[710 151]
130,[706 150]
131,[698 149]
132,[705 158]
133,[708 151]
134,[709 154]
135,[707 156]
136,[707 157]
137,[700 160]
138,[707 160]
139,[697 165]
140,[695 160]
141,[695 156]
142,[696 155]
143,[694 169]
144,[694 166]
145,[696 166]
146,[697 164]
147,[698 165]
148,[698 169]
149,[696 168]
150,[694 161]
151,[692 168]
152,[693 161]
153,[687 167]
154,[690 168]
155,[692 167]
156,[689 167]
157,[689 171]
158,[684 171]
159,[682 180]
160,[684 186]
161,[678 180]
162,[685 180]
163,[683 176]
164,[682 179]
165,[682 181]
166,[681 179]
167,[684 184]
168,[679 177]
169,[679 178]
170,[680 179]
171,[683 181]
172,[679 182]
173,[677 178]
174,[676 178]
175,[678 175]
176,[677 187]
177,[679 179]
178,[678 182]
179,[675 182]
180,[677 176]
181,[678 168]
182,[676 171]
183,[675 169]
184,[676 172]
185,[680 163]
186,[675 157]
187,[675 160]
188,[676 164]
189,[674 167]
190,[678 163]
191,[674 160]
192,[674 163]
193,[670 166]
194,[673 169]
195,[675 166]
196,[675 162]
197,[671 172]
198,[672 169]
199,[670 172]
200,[667 175]
201,[669 178]
202,[656 189]
203,[667 188]
204,[664 189]
205,[663 192]
206,[657 191]
207,[661 197]
208,[658 191]
209,[656 187]
210,[662 185]
211,[666 191]
212,[661 189]
213,[663 180]
214,[661 186]
215,[662 184]
216,[662 182]
217,[663 184]
218,[659 191]
