,frap_region
399,[530 300]
400,[531 290]
401,[531 298]
402,[532 297]
403,[526 297]
404,[524 297]
405,[521 292]
406,[523 291]
407,[521 288]
408,[522 290]
409,[519 285]
410,[518 294]
411,[519 293]
412,[513 290]
413,[517 289]
414,[511 284]
415,[511 283]
416,[516 286]
417,[519 286]
418,[518 288]
419,[518 295]
420,[520 295]
421,[515 295]
422,[515 297]
423,[515 303]
424,[518 303]
425,[513 304]
426,[515 298]
427,[511 306]
428,[512 316]
429,[515 309]
430,[512 318]
431,[514 316]
432,[514 318]
433,[518 319]
434,[515 318]
435,[519 324]
436,[520 317]
437,[518 322]
438,[513 316]
439,[514 325]
440,[514 327]
441,[513 318]
442,[510 327]
443,[507 327]
444,[510 330]
445,[517 338]
446,[515 334]
447,[509 336]
448,[508 334]
449,[505 333]
450,[503 342]
451,[504 335]
452,[499 333]
453,[498 338]
454,[499 336]
455,[503 336]
456,[502 333]
457,[502 340]
458,[501 340]
459,[502 338]
460,[502 341]
461,[502 339]
462,[501 341]
463,[498 343]
464,[507 349]
465,[501 344]
466,[507 340]
467,[502 337]
468,[503 332]
469,[502 338]
470,[501 338]
471,[499 337]
472,[492 333]
473,[491 328]
474,[495 327]
475,[495 334]
476,[494 334]
477,[498 338]
478,[496 334]
479,[500 330]
480,[498 330]
481,[497 330]
482,[493 332]
483,[488 339]
484,[487 347]
485,[492 337]
486,[494 342]
487,[492 334]
488,[491 333]
489,[491 333]
490,[490 336]
491,[496 335]
492,[494 332]
493,[498 335]
494,[494 334]
495,[496 335]
496,[493 338]
497,[495 344]
498,[500 340]
499,[495 341]
500,[499 342]
501,[500 342]
502,[500 345]
503,[494 341]
504,[497 338]
505,[498 335]
506,[500 335]
507,[495 338]
508,[500 334]
509,[498 346]
510,[497 345]
511,[494 345]
512,[492 339]
513,[490 344]
514,[493 349]
515,[490 344]
516,[489 347]
517,[492 347]
518,[493 349]
519,[487 349]
520,[484 346]
521,[488 350]
522,[488 344]
523,[485 344]
524,[486 355]
525,[485 357]
526,[488 350]
527,[488 353]
528,[489 359]
529,[493 356]
530,[493 357]
531,[488 358]
532,[486 365]
533,[488 362]
534,[486 365]
535,[482 360]
536,[485 364]
537,[478 351]
538,[479 357]
539,[481 362]
540,[480 368]
541,[477 365]
542,[480 373]
543,[481 357]
544,[477 363]
545,[479 373]
546,[480 377]
547,[480 370]
548,[481 369]
549,[482 366]
550,[478 358]
551,[473 367]
552,[474 371]
553,[480 365]
554,[477 366]
555,[479 361]
556,[482 366]
557,[484 368]
558,[483 371]
559,[480 370]
560,[480 374]
561,[477 379]
562,[477 379]
563,[477 380]
564,[478 380]
565,[480 375]
566,[478 378]
567,[477 371]
568,[474 377]
569,[475 382]
570,[473 390]
571,[473 375]
572,[478 380]
573,[476 384]
574,[476 380]
575,[482 378]
576,[481 379]
577,[478 381]
578,[476 377]
579,[477 381]
580,[476 381]
581,[472 380]
582,[474 377]
583,[473 376]
584,[473 388]
585,[471 384]
586,[474 383]
587,[476 386]
588,[475 382]
589,[474 387]
590,[474 390]
591,[474 390]
592,[476 395]
593,[472 391]
594,[472 390]
595,[471 395]
596,[470 395]
597,[472 389]
598,[470 389]
599,[470 380]
600,[467 384]
601,[465 388]
602,[462 381]
603,[464 378]
604,[467 375]
605,[466 383]
606,[466 381]
607,[464 380]
608,[465 375]
609,[465 374]
610,[465 377]
611,[463 381]
612,[467 379]
613,[468 378]
614,[465 384]
615,[469 386]
616,[463 385]
617,[463 391]
618,[461 382]
619,[460 383]
620,[460 386]
621,[461 380]
622,[463 390]
623,[461 374]
624,[466 380]
625,[465 376]
626,[467 379]
627,[463 380]
628,[462 382]
629,[463 382]
630,[464 386]
631,[462 384]
632,[459 385]
633,[463 383]
634,[468 388]
635,[466 390]
636,[468 385]
637,[466 389]
638,[461 388]
639,[467 384]
640,[460 384]
641,[459 387]
642,[458 393]
643,[458 393]
644,[458 390]
645,[458 392]
646,[460 389]
647,[459 399]
648,[453 395]
649,[456 396]
650,[457 403]
651,[456 399]
652,[456 398]
653,[457 403]
654,[455 404]
655,[454 396]
656,[457 394]
657,[456 395]
658,[460 398]
659,[456 403]
660,[455 392]
661,[455 393]
662,[452 391]
663,[454 394]
664,[454 386]
665,[458 395]
666,[461 396]
667,[463 399]
668,[466 393]
669,[462 391]
670,[461 392]
671,[459 396]
672,[462 390]
673,[461 396]
674,[457 395]
675,[461 399]
676,[462 398]
677,[457 395]
678,[461 394]
679,[461 394]
680,[458 394]
681,[458 391]
682,[461 399]
683,[461 395]
684,[460 396]
685,[455 403]
686,[457 402]
687,[455 405]
688,[454 409]
689,[451 398]
690,[454 400]
691,[452 398]
692,[449 395]
693,[448 403]
694,[447 400]
695,[448 402]
696,[450 400]
697,[452 394]
698,[448 392]
699,[450 397]
700,[449 398]
701,[450 400]
702,[450 407]
703,[451 409]
704,[451 412]
705,[457 411]
706,[454 415]
707,[452 419]
708,[451 421]
709,[454 414]
710,[450 417]
711,[456 424]
712,[451 418]
713,[452 418]
714,[457 416]
715,[453 421]
716,[454 416]
717,[453 415]
718,[451 413]
719,[449 419]
720,[448 418]
721,[445 419]
722,[447 419]
723,[445 422]
724,[442 419]
725,[445 422]
726,[446 420]
727,[445 421]
728,[448 428]
729,[445 423]
730,[447 416]
731,[448 419]
732,[450 425]
733,[448 419]
734,[445 425]
735,[447 416]
736,[446 418]
737,[447 414]
738,[445 417]
739,[445 420]
740,[445 419]
741,[442 409]
742,[446 416]
743,[440 422]
744,[440 413]
745,[442 423]
746,[440 427]
747,[438 432]
748,[435 432]
749,[443 420]
750,[442 417]
751,[439 421]
752,[439 421]
753,[440 413]
754,[444 422]
755,[438 424]
756,[442 419]
757,[441 420]
758,[438 417]
759,[443 422]
760,[445 423]
761,[445 414]
762,[447 427]
763,[445 423]
764,[446 425]
765,[443 421]
766,[444 427]
767,[442 420]
768,[443 417]
769,[438 410]
770,[435 414]
771,[435 415]
772,[435 411]
773,[437 411]
774,[432 405]
775,[437 408]
776,[436 405]
777,[430 409]
778,[432 414]
779,[428 427]
780,[429 420]
781,[427 409]
782,[429 417]
783,[427 412]
784,[427 415]
785,[430 417]
786,[426 414]
787,[425 412]
788,[421 410]
789,[418 419]
790,[423 416]
791,[425 419]
792,[421 416]
793,[425 415]
794,[425 416]
795,[427 425]
796,[427 420]
797,[428 424]
798,[424 425]
799,[417 430]
800,[421 433]
801,[420 425]
802,[420 426]
803,[416 420]
804,[415 417]
805,[412 421]
806,[419 419]
807,[420 426]
808,[422 422]
809,[424 418]
