,frap_region
0,[840   0]
1,[818  13]
2,[809  19]
3,[800  18]
4,[799  24]
5,[798  29]
6,[794  34]
7,[790  37]
8,[789  35]
9,[786  41]
10,[783  46]
11,[782  48]
12,[784  45]
13,[782  52]
14,[779  55]
15,[772  56]
16,[769  56]
17,[768  55]
18,[769  63]
19,[772  58]
20,[771  61]
21,[769  65]
22,[768  63]
23,[763  67]
24,[764  74]
25,[763  77]
26,[760  77]
27,[765  74]
28,[759  76]
29,[761  72]
30,[757  74]
31,[758  75]
32,[752  79]
33,[755  86]
34,[750  94]
35,[750  90]
36,[748  88]
37,[745  88]
38,[751  82]
39,[750  86]
40,[749  83]
41,[750  82]
42,[748  83]
43,[740  87]
44,[739  89]
45,[740  90]
46,[741  89]
47,[742  90]
48,[738  93]
49,[736  97]
50,[737  96]
51,[733 101]
52,[728 106]
53,[728 110]
54,[721 111]
55,[719 106]
56,[725 101]
57,[724 105]
58,[721 101]
59,[718 104]
60,[722 105]
61,[724 115]
62,[724 114]
63,[722 104]
64,[722 107]
65,[714 101]
66,[713 104]
67,[712 110]
68,[711 107]
69,[715 116]
70,[717 117]
71,[717 115]
72,[723 120]
73,[718 114]
74,[720 115]
75,[721 113]
76,[725 114]
77,[720 117]
78,[718 123]
79,[720 121]
80,[718 120]
81,[719 122]
82,[715 127]
83,[723 122]
84,[723 125]
85,[721 123]
86,[722 128]
87,[726 128]
88,[721 126]
89,[720 132]
90,[717 131]
91,[721 130]
92,[718 131]
93,[721 132]
94,[723 130]
95,[718 126]
96,[715 137]
97,[721 137]
98,[720 143]
99,[717 139]
100,[715 145]
101,[711 146]
102,[705 148]
103,[701 149]
104,[707 153]
105,[704 147]
106,[707 151]
107,[703 153]
108,[705 153]
109,[703 150]
110,[703 149]
111,[696 141]
112,[697 144]
113,[699 151]
114,[691 155]
115,[690 156]
116,[690 156]
117,[690 153]
118,[689 152]
119,[687 151]
120,[687 147]
121,[690 146]
122,[687 145]
123,[682 146]
124,[680 151]
125,[684 148]
126,[687 150]
127,[681 159]
128,[680 153]
129,[681 151]
130,[687 151]
131,[682 153]
132,[677 160]
133,[672 158]
134,[675 152]
135,[670 151]
136,[665 152]
137,[673 147]
138,[669 158]
139,[672 162]
140,[675 160]
141,[664 166]
142,[665 171]
143,[662 168]
144,[665 169]
145,[663 167]
146,[659 160]
147,[658 162]
148,[664 161]
149,[668 166]
150,[663 172]
151,[666 175]
152,[665 174]
153,[662 175]
154,[664 178]
155,[665 174]
156,[669 168]
157,[664 173]
158,[659 178]
159,[660 182]
160,[664 179]
161,[660 183]
162,[660 184]
163,[658 195]
164,[655 200]
165,[657 193]
166,[658 189]
167,[663 186]
168,[655 188]
169,[656 181]
170,[646 177]
171,[648 181]
172,[649 182]
173,[647 189]
174,[649 183]
175,[641 175]
176,[639 175]
177,[643 179]
178,[637 178]
179,[641 183]
180,[636 191]
181,[632 187]
182,[635 183]
183,[632 185]
184,[633 180]
185,[641 179]
186,[636 178]
187,[639 183]
188,[635 183]
189,[638 176]
190,[639 179]
191,[643 175]
192,[635 173]
193,[638 177]
194,[638 176]
195,[635 171]
196,[632 172]
197,[628 172]
198,[631 173]
199,[630 169]
200,[628 177]
201,[625 177]
202,[630 182]
203,[626 185]
204,[629 182]
205,[628 193]
206,[626 190]
207,[626 194]
208,[622 188]
209,[626 188]
210,[619 184]
211,[621 181]
212,[616 181]
213,[617 184]
214,[624 188]
215,[621 183]
216,[621 189]
217,[620 190]
218,[616 185]
219,[617 187]
220,[624 183]
221,[621 181]
222,[621 188]
223,[624 189]
224,[622 185]
225,[621 189]
226,[620 187]
227,[615 186]
228,[615 191]
229,[610 183]
230,[610 179]
231,[607 182]
232,[607 183]
233,[607 187]
234,[611 189]
235,[612 199]
236,[598 195]
237,[601 192]
238,[599 197]
239,[606 189]
240,[606 195]
241,[599 191]
242,[598 190]
243,[601 197]
244,[601 193]
245,[602 194]
246,[602 195]
247,[604 194]
248,[601 198]
249,[599 186]
250,[600 190]
251,[602 192]
252,[598 188]
253,[596 187]
254,[591 190]
255,[591 189]
256,[591 192]
257,[595 189]
258,[587 183]
259,[594 185]
260,[597 200]
261,[598 193]
262,[591 197]
263,[598 192]
264,[593 193]
265,[595 196]
266,[596 195]
267,[594 196]
268,[590 200]
269,[589 201]
270,[591 205]
271,[592 202]
272,[587 197]
273,[587 200]
274,[591 201]
275,[582 204]
276,[583 205]
277,[579 209]
278,[587 214]
279,[585 217]
280,[584 219]
281,[581 216]
282,[588 213]
283,[590 216]
