,frap_region
0,[877   0]
1,[861  18]
2,[853  33]
3,[850  31]
4,[851  34]
5,[846  36]
6,[845  38]
7,[840  47]
8,[841  47]
9,[833  52]
10,[829  55]
11,[828  56]
12,[826  58]
13,[822  57]
14,[822  62]
15,[819  58]
16,[821  56]
17,[823  61]
18,[822  56]
19,[821  60]
20,[817  55]
21,[814  61]
22,[817  79]
23,[811  70]
24,[811  70]
25,[809  73]
26,[805  72]
27,[800  69]
28,[802  78]
29,[802  81]
30,[801  78]
31,[797  78]
32,[797  81]
33,[795  79]
34,[793  89]
35,[791  84]
36,[793  85]
37,[789  84]
38,[782  96]
39,[782  90]
40,[779  93]
41,[776  93]
42,[770  96]
43,[776  96]
44,[771 100]
45,[776 103]
46,[775 100]
47,[773 100]
48,[773 106]
49,[771 104]
50,[776  99]
51,[768 102]
52,[768 104]
53,[770 109]
54,[768 117]
55,[771 112]
56,[755 117]
57,[765 121]
58,[753 119]
59,[755 117]
60,[763 122]
61,[761 120]
62,[758 120]
63,[759 122]
64,[761 122]
65,[763 124]
66,[758 125]
67,[760 129]
68,[757 132]
69,[752 129]
70,[760 138]
71,[753 129]
72,[752 135]
73,[750 134]
74,[746 139]
75,[749 139]
76,[748 139]
77,[751 140]
78,[744 141]
79,[743 139]
80,[738 140]
81,[741 133]
82,[738 134]
83,[740 136]
84,[738 132]
85,[741 133]
86,[741 139]
87,[745 134]
88,[749 146]
89,[748 135]
90,[745 143]
91,[740 148]
92,[744 156]
93,[742 154]
94,[747 154]
95,[750 153]
96,[746 147]
97,[749 145]
98,[744 140]
99,[743 153]
100,[739 151]
101,[740 152]
102,[743 145]
103,[739 147]
104,[740 154]
105,[737 154]
106,[735 152]
107,[733 154]
108,[736 155]
109,[734 154]
110,[732 156]
111,[726 158]
112,[729 158]
113,[723 163]
114,[726 156]
115,[731 150]
116,[732 157]
117,[724 154]
118,[721 155]
119,[725 157]
120,[722 160]
121,[717 164]
122,[720 163]
123,[718 163]
124,[720 167]
125,[714 166]
126,[712 167]
127,[716 163]
128,[714 157]
129,[720 156]
130,[714 163]
131,[712 159]
132,[709 163]
133,[716 162]
134,[711 161]
135,[710 162]
136,[699 175]
137,[705 172]
138,[701 172]
139,[702 174]
140,[708 172]
141,[704 177]
142,[703 171]
143,[709 172]
144,[705 177]
145,[705 182]
146,[704 175]
147,[704 185]
148,[702 178]
149,[703 176]
150,[706 181]
151,[701 183]
152,[695 179]
153,[694 183]
154,[698 179]
155,[699 188]
156,[693 193]
157,[695 184]
158,[691 181]
159,[697 173]
160,[695 172]
161,[687 175]
162,[686 179]
163,[685 178]
164,[685 185]
165,[683 191]
166,[683 185]
167,[682 190]
168,[686 193]
169,[681 195]
170,[687 189]
171,[686 194]
172,[688 185]
173,[688 194]
174,[687 193]
175,[685 189]
176,[695 198]
177,[690 199]
178,[689 190]
179,[686 189]
180,[686 187]
181,[687 189]
182,[682 188]
183,[681 186]
184,[679 190]
185,[679 193]
186,[681 188]
187,[681 194]
188,[675 196]
189,[679 202]
190,[678 198]
191,[673 198]
192,[677 199]
193,[672 198]
194,[673 198]
195,[671 194]
196,[675 198]
197,[679 195]
198,[677 201]
199,[671 199]
200,[674 196]
201,[676 196]
202,[675 197]
203,[669 206]
204,[670 206]
205,[666 202]
206,[670 206]
207,[667 207]
208,[667 205]
209,[666 205]
210,[668 210]
211,[668 198]
212,[667 204]
213,[668 204]
214,[667 204]
215,[666 193]
216,[663 199]
217,[663 197]
218,[669 203]
219,[670 197]
220,[672 197]
221,[677 192]
222,[677 200]
223,[679 199]
224,[675 210]
225,[673 207]
226,[671 206]
227,[667 199]
228,[665 208]
229,[669 210]
230,[663 208]
231,[660 210]
232,[659 209]
233,[662 215]
234,[665 216]
235,[663 213]
236,[662 220]
237,[663 222]
238,[662 222]
239,[663 222]
240,[662 220]
241,[660 219]
242,[660 216]
243,[661 223]
244,[661 219]
245,[655 219]
246,[659 219]
247,[655 226]
248,[653 226]
249,[653 227]
250,[653 226]
251,[651 227]
252,[651 233]
253,[657 234]
254,[649 231]
255,[650 228]
256,[647 229]
257,[648 233]
258,[648 231]
259,[644 234]
260,[645 233]
261,[646 233]
262,[648 230]
263,[648 229]
264,[647 231]
265,[643 228]
266,[647 231]
267,[644 238]
268,[645 231]
269,[647 241]
270,[640 233]
271,[644 235]
272,[639 238]
273,[643 235]
274,[643 240]
275,[646 235]
276,[644 230]
277,[638 232]
278,[649 234]
279,[649 228]
280,[641 236]
281,[646 240]
282,[643 243]
283,[635 246]
284,[636 238]
285,[631 240]
286,[636 239]
287,[638 239]
288,[636 244]
289,[637 241]
290,[633 240]
291,[635 244]
292,[636 235]
293,[632 240]
294,[630 239]
295,[632 237]
296,[625 233]
297,[625 235]
298,[624 232]
299,[627 232]
300,[623 239]
301,[622 237]
302,[626 238]
303,[626 237]
304,[627 234]
305,[632 246]
306,[627 236]
307,[625 241]
308,[629 240]
309,[624 238]
310,[627 243]
311,[623 247]
312,[625 239]
313,[618 239]
314,[623 245]
315,[624 242]
316,[617 245]
317,[623 242]
318,[621 242]
319,[620 246]
320,[616 252]
321,[618 253]
322,[614 252]
323,[617 251]
324,[617 256]
325,[622 254]
326,[622 254]
327,[622 257]
328,[616 263]
329,[614 261]
330,[613 259]
331,[611 267]
332,[612 261]
333,[620 260]
334,[614 256]
335,[619 255]
336,[609 258]
337,[611 257]
338,[619 259]
339,[616 257]
340,[612 259]
341,[609 258]
342,[609 256]
343,[611 255]
344,[608 254]
345,[612 259]
346,[612 261]
347,[608 261]
348,[606 263]
349,[612 258]
350,[610 263]
351,[608 264]
352,[605 263]
353,[606 263]
354,[607 259]
355,[604 257]
356,[607 259]
357,[606 263]
358,[607 265]
359,[606 267]
360,[605 265]
361,[607 266]
362,[610 262]
363,[609 264]
364,[603 263]
365,[596 258]
366,[598 262]
367,[600 261]
368,[596 258]
369,[596 255]
370,[601 261]
371,[599 262]
372,[597 264]
373,[596 263]
374,[597 269]
375,[599 272]
376,[601 263]
377,[599 260]
378,[594 262]
379,[597 266]
380,[598 268]
381,[595 265]
382,[600 272]
383,[596 271]
384,[598 275]
385,[596 277]
386,[599 273]
387,[594 270]
388,[592 274]
389,[590 275]
390,[591 277]
391,[593 274]
392,[587 272]
393,[592 276]
394,[593 274]
395,[600 281]
396,[597 275]
397,[589 276]
398,[592 279]
399,[589 281]
400,[587 269]
401,[590 273]
402,[593 270]
403,[592 276]
404,[595 278]
405,[598 278]
406,[594 285]
407,[595 281]
408,[592 288]
409,[589 279]
410,[594 286]
411,[601 283]
412,[601 285]
413,[601 284]
414,[597 292]
415,[596 296]
416,[592 292]
417,[593 287]
418,[587 281]
419,[588 283]
420,[589 291]
421,[587 291]
422,[593 292]
423,[589 287]
424,[592 284]
425,[593 276]
426,[595 282]
427,[593 282]
428,[593 278]
429,[589 287]
430,[584 291]
431,[589 295]
432,[587 286]
433,[587 283]
434,[587 276]
435,[588 280]
436,[585 273]
437,[589 279]
438,[586 275]
439,[585 282]
440,[589 278]
441,[589 282]
442,[583 284]
443,[586 282]
444,[587 289]
445,[584 282]
446,[579 286]
447,[573 292]
448,[579 290]
449,[577 283]
450,[576 292]
451,[577 293]
452,[577 289]
453,[577 293]
454,[577 294]
455,[584 302]
456,[585 302]
457,[585 304]
458,[586 305]
459,[586 305]
460,[579 306]
461,[579 303]
462,[574 303]
463,[576 302]
464,[573 301]
465,[577 308]
466,[572 307]
467,[566 308]
468,[567 310]
469,[575 305]
470,[570 302]
471,[568 306]
472,[573 313]
473,[568 309]
474,[566 300]
475,[569 311]
476,[569 311]
477,[563 313]
478,[569 313]
479,[566 306]
480,[566 301]
481,[567 302]
482,[571 308]
483,[571 311]
484,[577 315]
485,[576 311]
486,[577 310]
487,[578 309]
488,[580 309]
489,[575 315]
490,[570 316]
491,[571 324]
492,[565 318]
493,[562 316]
494,[563 321]
495,[559 318]
496,[562 317]
497,[562 323]
498,[565 318]
499,[558 319]
500,[560 310]
501,[563 315]
502,[561 312]
503,[563 317]
504,[561 315]
505,[558 322]
506,[560 318]
507,[564 315]
508,[560 319]
509,[558 314]
510,[554 315]
511,[556 311]
512,[556 317]
513,[550 312]
514,[548 311]
515,[548 313]
516,[551 311]
517,[547 315]
518,[550 315]
519,[557 314]
520,[560 325]
521,[557 322]
522,[555 329]
523,[561 322]
524,[561 323]
525,[562 319]
526,[557 322]
527,[555 324]
528,[555 327]
529,[557 323]
530,[555 320]
531,[560 322]
532,[559 318]
533,[560 328]
534,[555 318]
535,[556 330]
536,[547 330]
537,[550 330]
538,[548 323]
539,[551 327]
540,[549 320]
541,[550 326]
542,[550 330]
543,[547 329]
544,[551 333]
545,[544 339]
546,[543 339]
547,[545 336]
548,[548 341]
549,[547 337]
550,[543 337]
551,[543 333]
552,[542 336]
553,[542 341]
554,[539 333]
555,[540 328]
556,[538 327]
557,[540 329]
558,[537 331]
559,[538 341]
560,[537 336]
561,[544 340]
562,[550 344]
563,[549 346]
564,[540 345]
565,[538 344]
566,[540 341]
567,[534 338]
568,[536 340]
569,[535 338]
570,[540 333]
571,[534 342]
572,[532 342]
573,[532 335]
574,[529 331]
575,[536 329]
576,[534 337]
577,[533 333]
578,[533 326]
579,[534 329]
580,[536 322]
581,[532 328]
582,[530 327]
583,[526 328]
584,[526 337]
585,[527 340]
586,[525 331]
587,[526 338]
588,[525 334]
589,[527 345]
590,[530 337]
591,[530 344]
592,[526 343]
593,[528 342]
594,[529 341]
595,[528 342]
596,[530 340]
597,[529 343]
598,[527 333]
599,[529 332]
600,[525 333]
601,[525 333]
602,[523 338]
603,[523 334]
604,[520 326]
605,[522 330]
606,[522 331]
607,[522 330]
608,[520 327]
609,[518 332]
610,[521 335]
611,[520 337]
612,[524 340]
