,frap_region
0,[838   0]
1,[825  13]
2,[818  18]
3,[818  28]
4,[817  30]
5,[814  31]
6,[812  43]
7,[807  39]
8,[802  38]
9,[800  45]
10,[796  42]
11,[800  47]
12,[797  56]
13,[793  59]
14,[796  55]
15,[790  63]
16,[784  65]
17,[783  59]
18,[782  65]
19,[775  69]
20,[777  70]
21,[779  72]
22,[772  70]
23,[774  73]
24,[772  72]
25,[775  78]
26,[773  80]
27,[765  81]
28,[764  78]
29,[764  85]
30,[762  86]
31,[762  83]
32,[758  82]
33,[755  88]
34,[759  89]
35,[758  91]
36,[763  94]
37,[754  94]
38,[759  93]
39,[744  89]
40,[749  98]
41,[746  99]
42,[743  95]
43,[745  95]
44,[746  95]
45,[747  95]
46,[747  98]
47,[748  99]
48,[743 101]
49,[746 107]
50,[742 107]
51,[741 105]
52,[742 104]
53,[736 107]
54,[740 112]
55,[740 113]
56,[740 117]
57,[739 113]
58,[739 113]
59,[743 115]
60,[741 116]
61,[736 124]
62,[740 122]
63,[737 118]
64,[739 126]
65,[730 130]
66,[731 127]
67,[737 124]
68,[729 124]
69,[731 122]
70,[727 123]
71,[728 131]
72,[724 130]
73,[726 125]
74,[726 145]
75,[719 139]
76,[717 143]
77,[719 135]
78,[715 138]
79,[715 143]
80,[716 139]
81,[718 136]
82,[718 136]
83,[710 133]
84,[720 137]
85,[720 141]
86,[719 137]
87,[719 146]
88,[718 136]
89,[715 136]
90,[710 138]
91,[709 141]
92,[709 141]
93,[711 148]
94,[709 146]
95,[709 155]
96,[704 154]
97,[707 147]
98,[708 153]
99,[707 152]
100,[704 152]
101,[701 153]
102,[702 155]
103,[699 154]
104,[701 154]
105,[696 153]
106,[697 148]
107,[701 148]
108,[697 156]
109,[695 155]
110,[692 162]
111,[692 155]
112,[691 161]
113,[692 167]
114,[691 166]
115,[685 171]
116,[685 164]
117,[679 167]
118,[679 167]
119,[682 167]
120,[670 159]
121,[668 169]
122,[674 171]
123,[677 175]
124,[683 178]
125,[683 172]
126,[677 167]
127,[678 169]
128,[676 168]
129,[681 164]
130,[681 160]
131,[680 164]
132,[679 167]
133,[680 169]
134,[681 172]
135,[676 173]
136,[678 171]
137,[679 172]
138,[674 173]
139,[679 172]
140,[674 172]
141,[674 171]
142,[672 173]
143,[669 181]
144,[672 181]
145,[675 187]
146,[673 181]
147,[673 185]
148,[672 188]
149,[674 190]
150,[671 182]
151,[664 184]
152,[666 186]
153,[664 191]
154,[669 192]
155,[669 186]
156,[670 188]
