,frap_region
0,[898   0]
1,[883  23]
2,[876  30]
3,[873  33]
4,[871  35]
5,[861  41]
6,[857  45]
7,[858  49]
8,[854  55]
9,[846  52]
10,[850  55]
11,[849  56]
12,[849  59]
13,[848  65]
14,[840  72]
15,[838  73]
16,[841  75]
17,[837  73]
18,[828  70]
19,[829  70]
20,[829  64]
21,[826  72]
22,[825  79]
23,[826  69]
24,[820  70]
25,[810  72]
26,[813  74]
27,[812  83]
28,[818  80]
29,[816  77]
30,[815  87]
31,[813  87]
32,[818  88]
33,[815  94]
34,[810  89]
35,[804  92]
36,[807  98]
37,[804  95]
38,[802  92]
39,[803  90]
40,[803  91]
41,[799  92]
42,[796  94]
43,[789  97]
44,[790  98]
45,[785 104]
46,[784  93]
47,[784  99]
48,[787 103]
49,[781 109]
50,[794 103]
51,[787 107]
52,[788 108]
53,[794 109]
54,[789 112]
55,[788 126]
56,[788 128]
57,[788 122]
58,[784 120]
59,[780 116]
60,[780 124]
61,[775 126]
62,[778 129]
63,[781 122]
64,[779 121]
65,[772 125]
66,[773 121]
67,[773 126]
68,[771 125]
69,[770 124]
70,[773 120]
71,[773 117]
72,[771 116]
73,[769 124]
74,[769 123]
75,[768 124]
76,[761 129]
77,[759 130]
78,[756 131]
79,[758 132]
80,[757 133]
81,[759 134]
82,[759 132]
83,[759 135]
84,[760 130]
85,[760 138]
86,[759 141]
87,[754 142]
88,[756 138]
89,[756 145]
90,[759 150]
91,[759 152]
92,[755 145]
93,[749 148]
94,[756 152]
95,[753 157]
96,[751 155]
97,[751 152]
98,[748 151]
99,[745 149]
100,[752 152]
101,[749 156]
102,[751 163]
103,[748 154]
104,[754 150]
105,[749 151]
106,[749 157]
107,[745 154]
108,[744 159]
109,[743 158]
110,[742 166]
111,[739 162]
112,[739 157]
113,[743 155]
114,[743 149]
115,[744 148]
116,[740 143]
117,[738 154]
118,[729 152]
119,[735 154]
120,[736 150]
121,[734 150]
122,[728 154]
123,[726 155]
124,[724 152]
125,[722 153]
126,[721 152]
127,[720 151]
128,[723 156]
129,[719 150]
130,[719 150]
131,[715 149]
132,[713 146]
133,[718 149]
134,[712 153]
135,[719 153]
136,[715 154]
137,[714 157]
138,[711 159]
139,[707 157]
140,[708 154]
141,[711 158]
142,[710 158]
143,[710 158]
144,[705 160]
145,[703 158]
146,[705 156]
147,[701 163]
148,[697 164]
149,[696 164]
150,[699 163]
151,[702 164]
152,[697 165]
153,[697 167]
154,[697 169]
155,[699 170]
156,[695 170]
157,[699 171]
158,[699 168]
159,[697 166]
160,[703 173]
161,[708 169]
162,[710 168]
163,[707 179]
164,[704 175]
165,[702 177]
166,[702 181]
167,[700 175]
168,[705 177]
169,[701 177]
170,[698 178]
171,[691 183]
172,[697 180]
173,[697 177]
174,[690 184]
175,[691 184]
176,[695 184]
177,[697 190]
178,[696 188]
179,[696 189]
180,[697 191]
181,[699 186]
182,[696 190]
183,[702 188]
184,[696 188]
185,[700 195]
186,[699 199]
187,[695 196]
188,[697 195]
189,[696 190]
190,[695 193]
191,[694 190]
192,[697 187]
193,[688 201]
194,[688 196]
195,[687 200]
196,[686 205]
197,[689 199]
198,[684 197]
199,[683 205]
200,[684 196]
201,[680 194]
202,[681 191]
203,[686 192]
204,[679 199]
205,[677 201]
206,[673 197]
207,[672 202]
208,[673 196]
209,[677 202]
210,[679 201]
211,[674 211]
212,[677 204]
213,[672 203]
214,[667 202]
215,[672 209]
216,[669 210]
217,[670 215]
218,[668 204]
219,[675 205]
220,[681 203]
221,[670 210]
222,[668 208]
223,[668 206]
224,[670 202]
225,[670 208]
226,[673 202]
227,[673 199]
228,[671 201]
229,[676 204]
230,[676 207]
231,[679 203]
232,[680 202]
233,[680 203]
234,[675 210]
235,[675 208]
236,[677 199]
237,[679 205]
238,[675 210]
239,[678 210]
240,[674 209]
241,[676 214]
242,[674 219]
243,[677 220]
244,[675 218]
245,[687 209]
246,[684 210]
247,[678 207]
248,[674 211]
249,[673 204]
250,[677 209]
251,[680 212]
252,[680 213]
253,[684 207]
254,[684 211]
255,[680 208]
256,[682 219]
257,[682 212]
258,[681 208]
259,[683 219]
260,[680 224]
261,[680 220]
262,[680 220]
263,[676 218]
264,[676 227]
265,[673 231]
266,[670 236]
267,[669 231]
268,[664 236]
269,[668 238]
270,[668 233]
271,[670 229]
272,[668 232]
273,[670 228]
274,[666 224]
275,[670 230]
276,[666 223]
277,[664 228]
278,[668 233]
279,[668 237]
280,[659 233]
281,[663 231]
282,[666 235]
283,[670 235]
284,[660 231]
285,[659 235]
286,[660 235]
287,[659 234]
288,[661 230]
289,[658 229]
290,[655 231]
291,[653 233]
292,[648 236]
293,[651 237]
294,[653 241]
295,[646 244]
296,[647 240]
297,[653 242]
298,[650 243]
299,[650 238]
300,[648 236]
301,[652 240]
302,[648 242]
303,[644 246]
304,[647 245]
305,[644 242]
306,[649 235]
307,[646 236]
308,[648 236]
309,[647 228]
310,[645 228]
311,[641 231]
312,[644 231]
313,[640 229]
314,[643 232]
315,[640 236]
316,[641 229]
317,[645 234]
318,[639 232]
319,[632 232]
320,[631 243]
321,[630 243]
322,[628 242]
323,[633 242]
324,[636 245]
325,[633 246]
326,[636 244]
327,[637 244]
328,[628 248]
329,[630 241]
330,[634 248]
331,[629 248]
332,[633 254]
333,[637 252]
334,[634 248]
335,[633 253]
336,[636 249]
337,[633 254]
338,[634 254]
339,[640 250]
340,[636 250]
341,[633 254]
342,[633 253]
343,[631 252]
344,[639 252]
345,[639 248]
346,[634 253]
347,[628 259]
348,[630 257]
349,[632 255]
350,[630 263]
351,[629 259]
352,[625 266]
353,[622 268]
354,[624 269]
355,[626 269]
356,[626 276]
357,[626 272]
358,[630 268]
359,[632 277]
360,[628 282]
361,[625 269]
362,[628 273]
363,[626 270]
364,[630 273]
365,[633 280]
366,[629 277]
367,[631 282]
368,[630 280]
369,[628 278]
370,[630 286]
371,[631 280]
372,[624 280]
373,[624 279]
374,[620 281]
375,[620 282]
376,[622 277]
377,[620 289]
378,[615 280]
379,[616 283]
380,[623 286]
381,[621 286]
382,[619 289]
383,[616 283]
384,[615 280]
385,[617 285]
386,[619 275]
387,[616 280]
388,[607 282]
389,[609 277]
390,[612 284]
391,[608 279]
392,[609 280]
393,[613 281]
394,[608 285]
395,[606 285]
396,[605 284]
397,[605 286]
398,[599 286]
399,[603 278]
400,[605 287]
401,[599 283]
402,[604 281]
403,[600 277]
404,[605 278]
405,[607 280]
406,[606 281]
407,[600 287]
408,[595 285]
409,[595 285]
410,[598 285]
411,[599 288]
412,[600 286]
413,[601 285]
414,[595 286]
415,[590 287]
416,[592 285]
417,[588 291]
418,[589 282]
419,[585 279]
420,[588 283]
421,[588 284]
422,[585 285]
423,[588 297]
424,[590 297]
425,[583 290]
426,[588 290]
427,[587 291]
428,[588 289]
429,[591 299]
430,[590 299]
431,[589 289]
432,[588 297]
433,[590 294]
434,[590 292]
435,[586 288]
436,[592 296]
437,[587 299]
438,[584 291]
439,[583 288]
440,[592 293]
441,[590 297]
442,[585 298]
443,[582 290]
444,[589 286]
445,[589 286]
446,[590 288]
447,[589 288]
448,[591 295]
449,[595 289]
450,[595 297]
451,[597 297]
452,[595 301]
453,[598 294]
454,[594 291]
455,[593 296]
456,[588 291]
457,[589 289]
458,[588 299]
459,[585 302]
460,[585 293]
461,[583 296]
462,[583 305]
463,[582 294]
464,[580 293]
465,[580 293]
466,[581 297]
467,[589 298]
468,[584 299]
469,[585 302]
470,[587 308]
471,[586 300]
472,[584 295]
473,[578 303]
474,[581 297]
475,[579 295]
476,[582 289]
477,[581 300]
478,[579 295]
479,[578 291]
480,[576 293]
481,[584 297]
482,[583 302]
483,[584 291]
484,[588 294]
485,[582 303]
486,[586 304]
487,[580 312]
488,[577 302]
489,[573 299]
490,[579 300]
491,[581 299]
492,[578 307]
493,[576 311]
494,[579 311]
495,[578 302]
496,[571 308]
497,[573 309]
498,[573 302]
499,[572 307]
500,[567 308]
501,[570 311]
502,[573 315]
503,[570 326]
504,[576 313]
505,[571 314]
506,[572 318]
507,[574 314]
508,[573 315]
509,[570 324]
510,[569 322]
511,[571 318]
512,[564 324]
513,[562 323]
514,[564 319]
515,[559 322]
516,[559 325]
517,[556 324]
518,[559 325]
519,[566 323]
520,[561 320]
521,[564 321]
522,[566 325]
523,[558 320]
524,[559 335]
525,[557 333]
526,[561 329]
527,[562 329]
528,[559 322]
529,[561 325]
530,[560 332]
531,[563 330]
532,[564 330]
533,[556 330]
534,[557 332]
535,[556 331]
536,[559 330]
537,[556 329]
538,[549 327]
539,[554 330]
540,[551 328]
541,[554 329]
542,[552 332]
543,[554 333]
544,[552 335]
545,[553 341]
546,[552 343]
547,[553 337]
548,[550 333]
549,[553 347]
550,[553 337]
551,[553 335]
552,[554 339]
553,[557 345]
554,[556 345]
555,[546 343]
556,[549 342]
557,[547 347]
558,[545 343]
559,[549 337]
560,[543 332]
561,[542 336]
562,[543 340]
563,[540 343]
564,[541 347]
565,[540 350]
566,[539 351]
567,[538 346]
568,[536 351]
569,[542 355]
570,[541 351]
571,[539 353]
572,[535 360]
573,[535 350]
574,[539 355]
575,[537 351]
576,[541 350]
577,[539 347]
578,[542 339]
579,[542 348]
580,[541 346]
581,[541 349]
582,[543 344]
583,[543 341]
584,[543 337]
585,[547 338]
586,[548 335]
587,[548 332]
588,[549 338]
589,[552 335]
590,[543 327]
591,[542 330]
592,[548 330]
593,[548 334]
594,[544 328]
595,[542 327]
596,[543 328]
597,[545 331]
598,[543 338]
599,[542 338]
600,[543 341]
601,[539 343]
602,[540 345]
603,[541 338]
604,[538 344]
605,[536 342]
606,[536 342]
607,[539 343]
608,[539 345]
609,[537 347]
610,[540 344]
611,[541 343]
612,[538 343]
613,[536 346]
614,[539 349]
615,[537 351]
616,[540 343]
617,[541 344]
618,[541 345]
619,[538 345]
620,[536 340]
621,[536 345]
622,[532 351]
623,[535 348]
624,[534 351]
625,[530 359]
626,[536 356]
627,[535 352]
628,[535 353]
629,[531 352]
630,[537 352]
631,[533 355]
632,[537 355]
633,[535 354]
634,[536 364]
635,[538 365]
636,[533 363]
637,[539 363]
638,[534 361]
639,[532 360]
640,[535 359]
641,[532 356]
642,[531 355]
643,[527 354]
644,[529 366]
645,[530 366]
646,[525 366]
647,[518 364]
648,[524 356]
649,[520 352]
650,[530 359]
651,[527 356]
652,[524 361]
653,[520 352]
654,[523 357]
655,[525 356]
656,[527 348]
657,[524 352]
658,[521 350]
659,[518 349]
660,[518 347]
661,[517 359]
662,[517 359]
663,[526 357]
664,[517 359]
