,frap_region
0,[848   0]
1,[832  10]
2,[829  18]
3,[827  19]
4,[827  20]
5,[824  22]
6,[821  25]
7,[819  27]
8,[821  29]
9,[824  31]
10,[822  36]
11,[818  39]
12,[819  40]
13,[813  40]
14,[810  38]
15,[813  40]
16,[807  46]
17,[810  43]
18,[814  45]
19,[810  47]
20,[814  49]
21,[814  55]
22,[812  58]
23,[815  60]
24,[814  62]
25,[812  64]
26,[808  61]
27,[803  56]
28,[805  57]
29,[805  58]
30,[804  58]
31,[800  60]
32,[800  61]
33,[797  63]
34,[796  66]
35,[799  67]
36,[797  71]
37,[799  70]
38,[796  68]
39,[795  69]
40,[793  67]
41,[791  72]
42,[794  69]
43,[794  70]
44,[792  69]
45,[790  70]
46,[791  75]
47,[794  77]
48,[793  75]
49,[788  78]
50,[787  78]
51,[789  76]
52,[787  77]
53,[786  83]
54,[778  79]
55,[781  79]
56,[779  79]
57,[776  83]
58,[781  81]
59,[782  80]
60,[781  80]
61,[786  86]
62,[787  82]
63,[783  86]
64,[783  87]
65,[781  86]
66,[780  88]
67,[782  87]
68,[782  83]
69,[785  87]
70,[788  84]
71,[783  89]
72,[788  87]
73,[787  86]
74,[788  86]
75,[786  86]
76,[787  90]
77,[784  95]
78,[776  92]
79,[778  89]
80,[776  89]
81,[777  92]
82,[775  91]
83,[776  88]
84,[774  92]
85,[773  94]
86,[777  91]
87,[774  92]
88,[776  92]
89,[775  90]
90,[775  93]
91,[776  90]
92,[781  90]
93,[780  88]
94,[775  91]
95,[773  90]
96,[769  91]
97,[768  92]
98,[770  86]
99,[770  92]
100,[768  97]
101,[774  95]
102,[771  94]
103,[772  92]
104,[772  91]
105,[775  87]
106,[772  91]
107,[770  90]
108,[772  89]
109,[768  94]
110,[771 102]
111,[770  95]
112,[766  98]
113,[768  98]
114,[768 101]
115,[763 101]
116,[768  94]
117,[764  98]
118,[764  95]
119,[766  95]
120,[761  96]
121,[758  96]
122,[761 101]
123,[765 105]
124,[757 105]
125,[759 107]
126,[762 108]
127,[763 117]
128,[764 114]
129,[762 115]
130,[757 116]
131,[751 118]
132,[746 113]
133,[747 118]
134,[748 117]
135,[749 119]
136,[749 116]
137,[748 118]
138,[742 116]
139,[747 116]
140,[745 110]
141,[743 115]
142,[739 110]
143,[732 117]
144,[736 114]
145,[737 108]
146,[735 114]
147,[739 113]
148,[739 111]
149,[739 107]
150,[738 107]
151,[742 112]
152,[736 115]
153,[738 117]
154,[736 118]
155,[737 119]
156,[739 121]
157,[735 121]
158,[736 123]
159,[739 122]
160,[737 126]
161,[739 126]
162,[735 125]
163,[732 127]
164,[736 124]
165,[733 130]
166,[728 129]
167,[731 137]
168,[726 134]
169,[724 134]
170,[720 132]
171,[720 123]
172,[726 129]
173,[728 131]
174,[726 129]
175,[729 124]
176,[730 128]
177,[727 130]
178,[729 132]
179,[727 133]
180,[731 132]
181,[728 137]
182,[727 140]
183,[722 140]
184,[722 144]
185,[719 141]
186,[722 137]
187,[721 141]
188,[721 143]
189,[722 137]
190,[722 137]
191,[724 132]
192,[727 131]
193,[727 132]
194,[726 134]
195,[725 134]
196,[729 131]
197,[722 137]
198,[720 133]
199,[718 133]
200,[717 131]
201,[719 129]
202,[718 127]
203,[717 131]
204,[721 128]
205,[720 129]
206,[718 131]
207,[713 128]
208,[715 128]
209,[716 133]
210,[713 132]
211,[718 132]
212,[719 126]
213,[714 129]
214,[714 130]
215,[715 126]
216,[714 134]
217,[716 131]
218,[718 135]
219,[713 131]
220,[714 134]
221,[712 127]
222,[711 131]
223,[711 127]
224,[712 131]
225,[714 128]
226,[713 128]
227,[715 130]
228,[710 132]
229,[708 129]
230,[710 132]
231,[705 134]
232,[711 133]
233,[706 136]
234,[706 137]
235,[703 142]
236,[704 143]
237,[700 136]
238,[703 138]
239,[702 138]
240,[700 134]
241,[699 141]
242,[695 127]
243,[695 135]
244,[696 135]
245,[700 135]
246,[694 133]
247,[699 133]
248,[694 135]
249,[696 135]
250,[695 140]
251,[694 140]
252,[692 138]
253,[693 139]
254,[694 137]
255,[698 143]
256,[698 145]
257,[697 143]
258,[691 145]
259,[688 148]
260,[686 149]
