,frap_region
0,[887   0]
1,[879  15]
2,[869  19]
3,[863  21]
4,[864  20]
5,[860  19]
6,[858  22]
7,[860  28]
8,[857  31]
9,[855  29]
10,[848  38]
11,[851  36]
12,[852  40]
13,[853  38]
14,[848  40]
15,[845  40]
16,[848  35]
17,[846  39]
18,[847  36]
19,[845  37]
20,[844  41]
21,[840  45]
22,[839  48]
23,[839  51]
24,[833  49]
25,[827  51]
26,[825  51]
27,[822  52]
28,[825  54]
29,[821  56]
30,[826  58]
31,[823  56]
32,[823  56]
33,[818  57]
34,[819  56]
35,[817  53]
36,[817  56]
37,[817  57]
38,[820  57]
39,[817  55]
40,[814  57]
41,[815  57]
42,[813  55]
43,[811  56]
44,[811  60]
45,[812  56]
46,[810  59]
47,[812  53]
48,[805  55]
49,[801  57]
50,[802  56]
51,[807  57]
52,[806  59]
53,[806  59]
54,[799  62]
55,[799  60]
56,[798  58]
57,[793  61]
58,[795  56]
59,[795  64]
60,[793  59]
61,[791  60]
62,[787  62]
63,[797  69]
64,[803  67]
65,[803  69]
66,[802  70]
67,[803  70]
68,[803  67]
69,[799  73]
70,[801  73]
71,[798  72]
72,[798  66]
73,[796  66]
74,[797  69]
75,[796  71]
76,[796  68]
77,[795  71]
78,[793  73]
79,[787  72]
80,[785  67]
81,[787  68]
82,[781  68]
83,[783  71]
84,[784  73]
85,[783  72]
86,[784  73]
87,[785  72]
88,[782  73]
89,[785  73]
90,[782  71]
91,[782  73]
92,[783  72]
93,[780  75]
94,[782  77]
95,[781  73]
96,[779  76]
97,[780  75]
98,[779  73]
99,[772  76]
100,[780  74]
101,[783  76]
102,[780  75]
103,[783  78]
104,[784  77]
105,[778  77]
106,[781  77]
107,[784  79]
108,[779  81]
109,[781  84]
110,[780  86]
111,[782  88]
112,[781  86]
113,[778  92]
114,[774  84]
115,[773  91]
116,[776  91]
117,[774  86]
118,[772  85]
119,[771  85]
120,[768  89]
121,[771  93]
122,[768  93]
123,[766  95]
124,[765  93]
125,[766 101]
126,[763 100]
127,[762 101]
128,[762 102]
